id,uid,time,data,temp,volume,energy
0,638cc474-3b7d-4467-aa97-37454a58abc6,3/9/2016 0:49,8.1,34,34.3,956.284
1,638cc474-3b7d-4467-aa97-37454a58abc6,3/9/2016 0:49,7.4,35,36.5,1060.0209
2,638cc474-3b7d-4467-aa97-37454a58abc6,1/9/2016 21:53,6.1,31,9.6,234.192
3,638cc474-3b7d-4467-aa97-37454a58abc6,1/9/2016 21:53,6.0,35,2.5,72.604164
4,638cc474-3b7d-4467-aa97-37454a58abc6,1/9/2016 23:24,5.4,34,26.6,741.6080000000001
5,638cc474-3b7d-4467-aa97-37454a58abc6,1/9/2016 23:26,7.2,34,40.2,1120.776
6,638cc474-3b7d-4467-aa97-37454a58abc6,2/7/2016 11:12,7.722488,37,27.2,791.0
7,638cc474-3b7d-4467-aa97-37454a58abc6,30/06/2016 00:25:43,7.5,36,14.1,355.0
8,638cc474-3b7d-4467-aa97-37454a58abc6,29/06/2016 01:05:41,6.0,26,0.2,3.0
9,638cc474-3b7d-4467-aa97-37454a58abc6,28/06/2016 01:03:55,7.5319147,35,18.9,490.0
10,638cc474-3b7d-4467-aa97-37454a58abc6,29/06/2016 01:06:15,6.9,34,48.4,1349.392
11,638cc474-3b7d-4467-aa97-37454a58abc6,29/06/2016 01:06:28,7.0,33,22.7,606.5061599999999
12,638cc474-3b7d-4467-aa97-37454a58abc6,29/06/2016 01:06:40,6.6,34,62.4,1739.7120000000002
13,638cc474-3b7d-4467-aa97-37454a58abc6,28/06/2016 01:02:07,7.3,34,79.8,2224.824
14,638cc474-3b7d-4467-aa97-37454a58abc6,28/06/2016 01:02:20,7.8,32,12.3,314.347
15,638cc474-3b7d-4467-aa97-37454a58abc6,29/06/2016 01:07:18,6.9,35,53.8,1562.4417
16,638cc474-3b7d-4467-aa97-37454a58abc6,29/06/2016 01:07:30,7.9,35,53.4,1550.825
17,638cc474-3b7d-4467-aa97-37454a58abc6,29/06/2016 01:07:43,7.4,35,51.1,1484.0292
18,638cc474-3b7d-4467-aa97-37454a58abc6,29/06/2016 01:08:20,7.2,33,56.5,1509.5858
19,638cc474-3b7d-4467-aa97-37454a58abc6,16/06/2016 00:51:23,7.8,34,32.2,897.7360000000001
20,638cc474-3b7d-4467-aa97-37454a58abc6,15/06/2016 22:18:01,7.7,33,60.1,1605.7719
21,638cc474-3b7d-4467-aa97-37454a58abc6,15/06/2016 22:10:52,6.9,32,20.3,518.80035
22,638cc474-3b7d-4467-aa97-37454a58abc6,16/06/2016 00:52:10,6.9,32,17.4,444.686
23,638cc474-3b7d-4467-aa97-37454a58abc6,15/06/2016 22:15:02,6.9,34,50.0,1394.0
24,638cc474-3b7d-4467-aa97-37454a58abc6,15/06/2016 22:15:14,7.2,36,139.5,4213.365
25,638cc474-3b7d-4467-aa97-37454a58abc6,15/06/2016 22:15:27,7.4,31,19.7,480.5815
26,638cc474-3b7d-4467-aa97-37454a58abc6,15/06/2016 22:16:04,7.6,31,22.5,548.8875
27,638cc474-3b7d-4467-aa97-37454a58abc6,8/6/2016 9:52,7.5746970000000005,37,115.8,3561.0
28,638cc474-3b7d-4467-aa97-37454a58abc6,7/6/2016 22:17,7.6,34,58.0,1617.04
29,638cc474-3b7d-4467-aa97-37454a58abc6,7/6/2016 10:49,3.4,31,3.5,85.3825
30,638cc474-3b7d-4467-aa97-37454a58abc6,7/6/2016 22:17,9.2,32,20.6,526.46735
