id,uid,time,data,temp,volume,energy
0,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:49:32,6.5,30,9.1,211.42334
1,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:52:15,6.6292133,31,29.5,760.0
2,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:49:43,14.7,15,5.4,31.365
3,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:48:27,10.0,30,43.7,1015.2967
4,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:49:56,7.2,26,12.5,232.33333
5,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:50:04,4.3,31,17.9,436.6705
6,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:48:49,2.8,31,3.3,80.5035
7,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:48:56,3.6,36,5.6,169.13867
8,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:50:33,7.2,22,6.5,90.61
9,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:50:40,5.4,35,9.2,267.18332000000004
10,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:50:47,4.9,31,5.6,136.612
11,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:49:31,7.4,22,5.8,80.852
12,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:49:47,10.7,29,42.1,929.2171599999999
13,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:50:01,6.6,31,28.3,690.3785
14,77b707ec-a2ed-4548-9871-2975d237c257,5/2/2017 19:56,7.7,30,30.4,706.29333
15,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:50:24,4.4,31,19.2,468.384
16,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:50:32,3.4,31,9.5,231.7525
17,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:50:39,10.4,21,6.9,88.1705
18,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:50:46,7.6,30,6.8,157.98666
19,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:50:57,7.2,29,6.1,134.63716000000002
20,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:51:04,6.0,14,3.0,13.94
21,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:51:21,7.5,33,14.3,382.07217
22,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:51:29,4.2,31,8.2,200.03900000000002
23,77b707ec-a2ed-4548-9871-2975d237c257,19/02/2017 13:51:46,9.8,14,3.1,14.404667000000002
24,77b707ec-a2ed-4548-9871-2975d237c257,5/2/2017 19:58,7.1,30,8.6,199.80667
25,77b707ec-a2ed-4548-9871-2975d237c257,24/01/2017 23:28:11,8.2,23,13.6,205.38266000000002
26,77b707ec-a2ed-4548-9871-2975d237c257,24/01/2017 23:28:03,4.3,35,22.2,644.725
27,77b707ec-a2ed-4548-9871-2975d237c257,5/2/2017 19:59,3.1,30,4.1,95.25667
28,77b707ec-a2ed-4548-9871-2975d237c257,5/2/2017 19:59,3.6,31,15.8,385.441
29,77b707ec-a2ed-4548-9871-2975d237c257,24/01/2017 23:28:36,9.8,14,4.4,20.445332999999998
30,77b707ec-a2ed-4548-9871-2975d237c257,24/01/2017 23:28:47,7.5,30,8.6,199.80667
31,77b707ec-a2ed-4548-9871-2975d237c257,24/01/2017 23:28:53,7.7,27,9.0,177.735
32,77b707ec-a2ed-4548-9871-2975d237c257,24/01/2017 23:28:59,3.8,35,16.3,473.37917999999996
33,77b707ec-a2ed-4548-9871-2975d237c257,15/01/2017 14:31:16,5.0,33,16.6,443.52432000000005
34,77b707ec-a2ed-4548-9871-2975d237c257,24/01/2017 23:29:10,10.0,30,94.9,2204.8433
35,77b707ec-a2ed-4548-9871-2975d237c257,24/01/2017 23:29:16,9.6,18,4.0,37.173332
36,77b707ec-a2ed-4548-9871-2975d237c257,24/01/2017 23:29:28,4.3,31,9.1,221.9945
37,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:49:23,3.0,32,9.3,237.67700000000002
38,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:49:23,9.2,15,4.6,26.718334000000002
39,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:49:23,6.7,28,6.4,133.82399999999998
40,77b707ec-a2ed-4548-9871-2975d237c257,26/02/2017 13:49:22,5.0,29,15.3,337.6965
41,77b707ec-a2ed-4548-9871-2975d237c257,15/01/2017 14:32:38,3.8,37,17.7,555.1605
42,77b707ec-a2ed-4548-9871-2975d237c257,15/01/2017 14:32:48,10.2,19,9.2,96.186
43,77b707ec-a2ed-4548-9871-2975d237c257,3/1/2017 23:50,6.8,32,8.0,204.45334
44,77b707ec-a2ed-4548-9871-2975d237c257,15/01/2017 14:33:09,7.6,31,8.1,197.5995
45,77b707ec-a2ed-4548-9871-2975d237c257,15/01/2017 14:33:33,8.8,18,2.5,23.233334
46,77b707ec-a2ed-4548-9871-2975d237c257,15/01/2017 14:33:44,4.7,35,5.3,153.92084
47,77b707ec-a2ed-4548-9871-2975d237c257,15/01/2017 14:33:54,3.9,34,4.9,136.612
