id,uid,time,data,temp,volume,energy
0,997dcf06-b6f3-4603-b9dd-afaf82be1374,2/10/2016 16:07,5.9,33,11.0,293.90167
1,997dcf06-b6f3-4603-b9dd-afaf82be1374,29/09/2016 22:18:04,5.676259,45,52.6,1785.0
2,997dcf06-b6f3-4603-b9dd-afaf82be1374,28/09/2016 23:23:36,4.5,25,0.3,5.0
3,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:08:46,5.8918919999999995,41,10.9,290.0
4,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:07:03,5.7,36,31.0,936.30334
5,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:15:12,5.9,38,62.4,2029.664
6,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:07:28,7.0,39,94.4,3180.1787
7,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:07:41,5.9,35,79.0,2294.2917
8,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:07:53,6.7,37,67.8,2126.547
9,997dcf06-b6f3-4603-b9dd-afaf82be1374,29/09/2016 22:16:51,7.0,37,64.5,2023.0425
10,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:16:15,7.4,38,65.2,2120.7388
11,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:08:31,7.4,35,65.6,1905.1333
12,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:08:43,6.4,37,11.2,351.288
13,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:17:05,6.1,39,76.5,2577.1575
14,997dcf06-b6f3-4603-b9dd-afaf82be1374,29/09/2016 22:17:20,6.9,34,22.9,638.452
15,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:17:30,8.0,38,60.7,1974.3687
16,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:17:42,5.7,38,59.5,1935.3367
17,997dcf06-b6f3-4603-b9dd-afaf82be1374,23/08/2016 00:16:36,6.0,28,0.9,18.0
18,997dcf06-b6f3-4603-b9dd-afaf82be1374,29/09/2016 22:17:43,6.5,38,65.7,2137.002
19,997dcf06-b6f3-4603-b9dd-afaf82be1374,23/08/2016 00:24:47,6.6,39,96.2,3240.8176
20,997dcf06-b6f3-4603-b9dd-afaf82be1374,23/08/2016 00:17:04,5.8,36,17.4,525.538
21,997dcf06-b6f3-4603-b9dd-afaf82be1374,23/08/2016 00:25:12,6.5,39,87.7,2954.4668
22,997dcf06-b6f3-4603-b9dd-afaf82be1374,23/08/2016 00:17:29,6.8,36,48.6,1467.882
23,997dcf06-b6f3-4603-b9dd-afaf82be1374,29/09/2016 22:14:38,4.0,27,3.3,65.1695
24,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:19:35,6.3,38,55.5,1805.23
25,997dcf06-b6f3-4603-b9dd-afaf82be1374,23/08/2016 00:18:06,4.4,33,7.0,187.02834
26,997dcf06-b6f3-4603-b9dd-afaf82be1374,23/08/2016 00:18:19,6.0,38,61.9,2013.4006
27,997dcf06-b6f3-4603-b9dd-afaf82be1374,23/08/2016 00:18:31,7.3,38,69.9,2273.614
28,997dcf06-b6f3-4603-b9dd-afaf82be1374,6/8/2016 21:36,5.240506,47,6.9,205.0
29,997dcf06-b6f3-4603-b9dd-afaf82be1374,25/09/2016 15:12:42,4.5,35,49.6,1440.4667
30,997dcf06-b6f3-4603-b9dd-afaf82be1374,6/8/2016 21:43,6.3,39,76.0,2560.3132
31,997dcf06-b6f3-4603-b9dd-afaf82be1374,23/08/2016 00:19:34,5.2,35,29.4,853.825
32,997dcf06-b6f3-4603-b9dd-afaf82be1374,27/07/2016 22:46:15,6.4761906,41,59.7,1856.0
33,997dcf06-b6f3-4603-b9dd-afaf82be1374,27/07/2016 22:42:51,5.8,39,47.3,1593.4581
34,997dcf06-b6f3-4603-b9dd-afaf82be1374,27/07/2016 22:43:03,6.5,38,66.6,2166.276
35,997dcf06-b6f3-4603-b9dd-afaf82be1374,6/8/2016 21:36,6.4,39,61.4,2068.4636
36,997dcf06-b6f3-4603-b9dd-afaf82be1374,6/8/2016 21:37,6.8,38,61.9,2013.4006
