id,uid,time,data,temp,volume,energy
0,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:51:20,11.5,39,20.2,680.50433
1,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:46:25,17.4,38,34.8,1131.928
2,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:50:50,14.0,35,21.9,636.0125
3,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:47:18,7.4,38,18.3,595.238
4,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:51:43,14.3,38,35.8,1164.4547
5,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:51:07,9.3,38,14.3,465.13135
6,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:47:36,7.0,39,15.5,522.1692
7,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:47:41,9.9,39,18.9,636.7095
8,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 09:39:34,14.1,35,20.0,580.8333
9,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:47:53,14.1,34,30.5,850.34
10,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:47:58,7.7,36,11.9,359.41967999999997
11,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 09:39:57,16.1,38,36.4,1183.9707
12,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 09:40:03,6.4,37,12.8,401.472
13,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:48:21,5.8,25,13.0,226.525
14,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 09:44:33,8.1,37,13.4,420.291
15,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 09:57:34,9.1,35,23.7,688.2875
16,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:48:38,11.0,43,25.2,966.0419999999999
17,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:48:44,11.0,37,22.5,705.7125
18,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 14:18:59,6.8,41,13.0,468.15167
19,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 10:58:47,8.1,39,12.8,431.21065999999996
20,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 14:02:04,17.1,39,44.4,1495.7620000000002
21,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:49:07,14.8,39,36.5,1229.6241
22,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 11:11:55,10.1,37,28.1,881.3565
23,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:49:24,8.1,37,14.4,451.656
24,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 10:52:47,11.0,35,25.6,743.4667
25,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 10:52:52,8.8,42,20.1,747.184
26,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 10:59:33,5.5,36,8.8,265.78934
27,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:49:47,7.9,37,16.0,501.84
28,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 10:53:09,5.4,37,8.6,269.73900000000003
29,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 11:12:35,9.9,37,18.9,592.7985
30,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:50:04,8.1,38,19.5,634.27
31,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 10:53:26,13.7,41,28.5,1026.3325
32,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 11:02:09,5.8,38,12.8,416.34134
33,9cec36fe-1b36-46fb-b35b-053da7ce5b14,14/11/2016 13:50:27,14.7,40,22.6,787.61
34,9cec36fe-1b36-46fb-b35b-053da7ce5b14,16/11/2016 10:53:49,6.2,34,11.6,323.408
