id,uid,time,data,temp,volume,energy
0,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,28/02/2017 22:44:43,8.4,36,40.1,1211.1537
1,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,28/02/2017 22:44:43,9.7,23,4.7,70.97784
2,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,28/02/2017 22:44:43,7.8,29,29.7,655.5285
3,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,26/02/2017 11:14:15,8.5,31,31.0,756.245
4,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,25/02/2017 07:26:38,9.9,30,27.6,641.24
5,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,24/02/2017 22:39:19,8.3,35,62.9,1826.7208
6,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,24/02/2017 07:20:58,9.7,31,30.9,753.8055
7,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,24/02/2017 22:37:02,7.0,39,55.2,1859.596
8,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,23/02/2017 07:23:30,9.0,29,25.4,560.62036
9,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,24/02/2017 22:33:41,10.3,29,31.4,693.05035
10,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,21/02/2017 09:06:27,8.5,32,29.3,748.81036
11,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,20/02/2017 07:31:01,9.6,30,29.8,692.35333
12,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,19/02/2017 10:49:41,8.0,26,43.9,815.95465
13,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,18/02/2017 09:38:33,4.3,31,15.6,380.56199999999995
14,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,17/02/2017 07:24:56,9.2,28,34.9,729.7589999999999
15,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,17/02/2017 07:21:46,7.5,25,39.5,688.2875
16,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,15/02/2017 10:27:58,8.0,37,73.1,2292.7815
17,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,14/02/2017 07:24:37,8.4,33,31.5,841.6275
18,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,13/02/2017 07:01:26,8.5,29,24.3,536.3415
19,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,13/02/2017 06:59:13,8.3,25,15.4,268.345
20,a0c4eb15-f0b0-42b2-93a0-8840bfcfc9f4,13/02/2017 06:59:13,8.8,29,53.6,1183.0414
