id,uid,time,data,temp,volume,energy
0,a33bd1a3-61e2-4c3e-9672-933b52b601a6,27/02/2017 19:41:27,8.3,35,34.7,1007.74585
1,a33bd1a3-61e2-4c3e-9672-933b52b601a6,27/02/2017 19:19:35,7.9,34,41.5,1157.02
2,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:37:57,6.9,32,4.8,122.67200000000001
3,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:31:58,8.4,35,39.4,1144.2417
4,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:09:30,7.3,35,26.9,781.2208
5,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:24:44,8.4,19,3.5,36.5925
6,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/02/2017 20:07:44,5.2,33,2.0,53.43666999999999
7,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/02/2017 20:01:17,8.1,35,15.7,455.95415999999994
8,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/02/2017 19:56:49,8.2,35,24.7,717.32916
9,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/02/2017 19:45:24,7.9,35,17.2,499.51665999999994
10,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/02/2017 19:39:55,8.1,32,20.5,523.9117
11,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/02/2017 19:53:21,7.4,33,2.7,72.1395
12,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/02/2017 19:53:34,8.3,35,26.4,766.7
13,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/02/2017 19:53:47,8.5,33,32.5,868.3458
14,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 19:21:59,6.2,33,3.5,93.51417
15,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 19:16:38,8.2,36,30.7,927.2423
16,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 18:56:38,8.2,34,29.0,808.52
17,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 18:56:05,7.8,37,32.5,1019.3625
18,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/01/2017 19:05:30,8.3,35,32.4,940.95
19,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/02/2017 19:55:02,8.1,35,2.7,78.4125
20,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/01/2017 18:53:07,6.9,36,29.9,903.07965
21,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/01/2017 18:36:43,7.9,35,32.2,935.14166
22,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:14:39,7.9,32,4.6,117.56067
23,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 19:12:30,8.0,36,27.1,818.5103
24,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 19:12:43,8.1,36,30.8,930.2627
25,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:14:57,6.9,35,3.0,87.125
26,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 19:13:08,8.0,37,28.5,893.9025
27,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:15:14,8.2,36,36.8,1111.4827
28,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 19:16:03,5.3,22,2.8,39.032
29,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/01/2017 18:35:34,8.3,36,17.6,531.5787
30,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 19:16:28,8.4,37,12.3,385.7895
31,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/01/2017 19:16:40,8.8,34,11.4,317.832
32,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:15:43,8.7,34,35.1,978.5880000000001
33,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:15:54,8.7,35,29.8,865.44165
34,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:16:06,8.1,37,42.3,1326.7395
35,a33bd1a3-61e2-4c3e-9672-933b52b601a6,20/02/2017 19:16:11,8.8,36,31.8,960.466
36,a33bd1a3-61e2-4c3e-9672-933b52b601a6,18/11/2016 19:27:47,9.0,35,2.3,66.0
37,a33bd1a3-61e2-4c3e-9672-933b52b601a6,18/11/2016 19:27:42,10.5,37,31.5,917.0
38,a33bd1a3-61e2-4c3e-9672-933b52b601a6,18/11/2016 19:16:21,10.0,37,15.5,450.14584
39,a33bd1a3-61e2-4c3e-9672-933b52b601a6,18/11/2016 19:16:34,8.2,35,1.5,43.5625
40,a33bd1a3-61e2-4c3e-9672-933b52b601a6,18/11/2016 19:02:00,8.571428,30,2.7,48.0
41,a33bd1a3-61e2-4c3e-9672-933b52b601a6,18/11/2016 19:01:53,8.1,21,9.1,116.28284
42,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/11/2016 18:40:03,7.714286,29,2.4,50.0
43,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/11/2016 18:39:56,10.5,39,34.0,1026.9133
44,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/11/2016 18:01:54,8.4,39,37.0,988.5783
45,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/11/2016 18:01:07,6.1,31,4.7,114.6565
46,a33bd1a3-61e2-4c3e-9672-933b52b601a6,13/11/2016 18:01:19,8.7,34,30.1,839.188
47,a33bd1a3-61e2-4c3e-9672-933b52b601a6,18/11/2016 19:22:25,8.3,33,31.2,833.612
48,a33bd1a3-61e2-4c3e-9672-933b52b601a6,1/11/2016 14:09,6.2,32,3.2,78.064
49,a33bd1a3-61e2-4c3e-9672-933b52b601a6,1/11/2016 13:55,7.6,33,30.7,748.9265
50,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/10/2016 17:40:42,8.0,37,3.2,96.650665
51,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/10/2016 17:35:05,7.875,39,15.0,487.9
52,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/10/2016 17:40:49,8.666667,38,7.8,241.0
53,a33bd1a3-61e2-4c3e-9672-933b52b601a6,31/10/2016 17:16:30,7.8,42,36.0,1087.32
54,a33bd1a3-61e2-4c3e-9672-933b52b601a6,25/10/2016 20:12:38,6.666666499999999,35,2.2,56.224667000000004
55,a33bd1a3-61e2-4c3e-9672-933b52b601a6,25/10/2016 20:08:11,7.0,37,39.8,1063.3896
56,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/10/2016 20:16:25,6.0,32,3.0,73.185
57,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/10/2016 20:16:10,6.3,33,25.5,631.0
58,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/10/2016 19:53:48,7.4,37,25.0,638.9167
59,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/10/2016 20:06:05,8.0,37,40.0,1254.6
60,a33bd1a3-61e2-4c3e-9672-933b52b601a6,21/10/2016 22:26:11,8.036697,38,35.6,1075.2386
61,a33bd1a3-61e2-4c3e-9672-933b52b601a6,21/10/2016 20:52:03,7.297297500000001,36,44.3,1338.0077
62,a33bd1a3-61e2-4c3e-9672-933b52b601a6,21/10/2016 20:51:43,6.0,30,3.2,74.346664
63,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/10/2016 20:06:55,7.8,33,21.3,569.1005
64,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/10/2016 20:07:08,7.6,31,20.8,507.416
65,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/10/2016 20:07:20,7.2,34,3.5,97.58
66,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/10/2016 20:07:33,7.4,35,26.6,772.5083599999999
67,a33bd1a3-61e2-4c3e-9672-933b52b601a6,24/10/2016 20:07:46,8.2,33,25.8,689.3330000000001
