id,uid,time,data,temp,volume,energy
0,af483880-49d4-4bb8-8982-ef52af97d012,16/08/2016 19:29:23,8.5,32,17.6,449.79733
1,af483880-49d4-4bb8-8982-ef52af97d012,16/08/2016 19:30:42,13.4,33,33.4,892.3923300000001
2,af483880-49d4-4bb8-8982-ef52af97d012,11/8/2016 7:16,13.6,34,53.2,1483.2160000000001
3,af483880-49d4-4bb8-8982-ef52af97d012,16/08/2016 19:31:20,13.8,30,27.4,636.5933
4,af483880-49d4-4bb8-8982-ef52af97d012,11/8/2016 7:10,14.1,28,7.5,156.825
5,af483880-49d4-4bb8-8982-ef52af97d012,11/8/2016 7:10,13.2,33,22.5,601.1625
6,af483880-49d4-4bb8-8982-ef52af97d012,6/8/2016 10:26,14.0,33,29.5,668.0
7,af483880-49d4-4bb8-8982-ef52af97d012,6/8/2016 10:23,13.7,27,7.1,140.21317
8,af483880-49d4-4bb8-8982-ef52af97d012,5/8/2016 20:29,10.0,32,7.3,186.56366
9,af483880-49d4-4bb8-8982-ef52af97d012,11/8/2016 7:13,13.6,28,8.4,175.644
10,af483880-49d4-4bb8-8982-ef52af97d012,5/8/2016 20:29,13.5,32,36.8,940.48535
11,af483880-49d4-4bb8-8982-ef52af97d012,6/8/2016 10:25,12.6,28,8.2,171.46200000000002
12,af483880-49d4-4bb8-8982-ef52af97d012,6/8/2016 10:25,14.1,28,8.2,171.46200000000002
13,af483880-49d4-4bb8-8982-ef52af97d012,6/8/2016 10:26,13.2,35,28.6,830.5917
14,af483880-49d4-4bb8-8982-ef52af97d012,6/8/2016 10:26,15.2,28,9.6,200.736
15,af483880-49d4-4bb8-8982-ef52af97d012,6/8/2016 10:26,15.9,28,6.9,144.279
16,af483880-49d4-4bb8-8982-ef52af97d012,1/8/2016 7:10,13.7,35,38.0,1103.5834
17,af483880-49d4-4bb8-8982-ef52af97d012,11/8/2016 7:16,11.7,28,9.2,192.372
18,af483880-49d4-4bb8-8982-ef52af97d012,1/8/2016 7:05,13.0,33,37.4,999.2657
19,af483880-49d4-4bb8-8982-ef52af97d012,1/8/2016 7:07,14.5,28,8.7,181.917
20,af483880-49d4-4bb8-8982-ef52af97d012,28/07/2016 22:29:58,19.5,33,10.5,272.0
21,af483880-49d4-4bb8-8982-ef52af97d012,28/07/2016 22:20:39,9.272727,36,22.7,643.0
22,af483880-49d4-4bb8-8982-ef52af97d012,28/07/2016 22:29:43,10.4,29,6.4,141.25867
23,af483880-49d4-4bb8-8982-ef52af97d012,28/07/2016 22:29:55,15.5,34,17.6,490.68800000000005
24,af483880-49d4-4bb8-8982-ef52af97d012,1/8/2016 7:09,10.0,31,8.3,202.4785
25,af483880-49d4-4bb8-8982-ef52af97d012,28/07/2016 22:20:16,11.7,33,4.1,109.545166
26,af483880-49d4-4bb8-8982-ef52af97d012,28/07/2016 22:20:41,13.2,34,60.6,1689.5279999999998
27,af483880-49d4-4bb8-8982-ef52af97d012,21/07/2016 20:20:25,13.5,39,25.7,722.0
28,af483880-49d4-4bb8-8982-ef52af97d012,21/07/2016 20:15:06,13.9,27,6.7,132.31383
29,af483880-49d4-4bb8-8982-ef52af97d012,18/07/2016 19:54:05,6.0,26,0.2,3.0
30,af483880-49d4-4bb8-8982-ef52af97d012,17/07/2016 20:37:25,3.724138,37,1.8,45.0
31,af483880-49d4-4bb8-8982-ef52af97d012,21/07/2016 20:20:02,13.0,32,11.9,304.12433
32,af483880-49d4-4bb8-8982-ef52af97d012,16/07/2016 22:13:43,6.0,27,0.2,3.0
33,af483880-49d4-4bb8-8982-ef52af97d012,14/07/2016 20:32:48,13.875,36,23.2,646.0
34,af483880-49d4-4bb8-8982-ef52af97d012,14/07/2016 20:29:00,7.96875,34,8.5,203.0
35,af483880-49d4-4bb8-8982-ef52af97d012,13/07/2016 21:10:24,4.285714,29,0.5,10.0
36,af483880-49d4-4bb8-8982-ef52af97d012,14/07/2016 20:28:50,12.3,37,39.8,1248.327
37,af483880-49d4-4bb8-8982-ef52af97d012,18/07/2016 19:57:12,13.5,34,31.0,864.28
38,af483880-49d4-4bb8-8982-ef52af97d012,14/07/2016 20:32:06,12.8,28,9.4,196.554
39,af483880-49d4-4bb8-8982-ef52af97d012,18/07/2016 19:57:23,14.2,28,23.0,480.93
40,af483880-49d4-4bb8-8982-ef52af97d012,18/07/2016 19:57:35,12.6,34,39.0,1087.32
41,af483880-49d4-4bb8-8982-ef52af97d012,18/07/2016 19:57:58,11.8,32,15.6,398.684
42,af483880-49d4-4bb8-8982-ef52af97d012,18/07/2016 19:59:47,11.3,36,13.0,392.64333999999997
43,af483880-49d4-4bb8-8982-ef52af97d012,6/7/2016 20:07,7.714286,27,0.9,17.0
44,af483880-49d4-4bb8-8982-ef52af97d012,6/7/2016 20:08,13.1,32,21.4,546.91266
45,af483880-49d4-4bb8-8982-ef52af97d012,6/7/2016 20:08,13.0,27,5.0,98.74167
46,af483880-49d4-4bb8-8982-ef52af97d012,4/7/2016 20:11,9.063829,36,53.3,1490.0
47,af483880-49d4-4bb8-8982-ef52af97d012,6/7/2016 20:09,13.1,27,11.1,219.2065
48,af483880-49d4-4bb8-8982-ef52af97d012,3/7/2016 19:39,8.029411,35,9.1,215.0
49,af483880-49d4-4bb8-8982-ef52af97d012,3/7/2016 19:38,13.9,33,14.6,390.08768
50,af483880-49d4-4bb8-8982-ef52af97d012,1/7/2016 8:24,7.6,37,27.7,802.0
51,af483880-49d4-4bb8-8982-ef52af97d012,3/7/2016 19:39,12.9,35,22.6,656.3417
52,af483880-49d4-4bb8-8982-ef52af97d012,1/7/2016 8:20,12.7,34,12.3,342.92400000000004
53,af483880-49d4-4bb8-8982-ef52af97d012,6/7/2016 20:12,11.8,37,77.3,2424.5144
54,af483880-49d4-4bb8-8982-ef52af97d012,6/7/2016 20:13,12.9,34,11.8,328.98400000000004
55,af483880-49d4-4bb8-8982-ef52af97d012,4/7/2016 20:09,10.3,35,17.9,519.8458
56,af483880-49d4-4bb8-8982-ef52af97d012,4/7/2016 20:09,12.1,31,9.5,231.7525
57,af483880-49d4-4bb8-8982-ef52af97d012,4/7/2016 20:10,14.3,33,17.9,478.25818
58,af483880-49d4-4bb8-8982-ef52af97d012,4/7/2016 20:11,13.5,35,29.4,853.825
59,af483880-49d4-4bb8-8982-ef52af97d012,22/05/2016 21:18:06,5.2972975,37,19.6,528.0
60,af483880-49d4-4bb8-8982-ef52af97d012,18/05/2016 21:06:20,2.5957446,22,6.1,85.0
