id,uid,time,data,temp,volume,energy
0,bd7d2477-6026-4764-88ed-49464a0254c3,13/09/2016 00:06:45,10.588235000000001,31,3.4,77.0
1,bd7d2477-6026-4764-88ed-49464a0254c3,13/09/2016 00:06:38,10.689655,35,16.5,440.8525
2,bd7d2477-6026-4764-88ed-49464a0254c3,13/09/2016 00:02:01,10.3,39,16.5,498.355
3,bd7d2477-6026-4764-88ed-49464a0254c3,13/09/2016 00:02:13,9.5,34,25.4,708.1519999999999
4,bd7d2477-6026-4764-88ed-49464a0254c3,14/09/2016 05:22:31,10.5,28,4.9,102.459
5,bd7d2477-6026-4764-88ed-49464a0254c3,13/09/2016 00:02:38,10.1,33,18.6,496.961
6,bd7d2477-6026-4764-88ed-49464a0254c3,13/09/2016 00:02:51,8.4,34,22.9,638.452
7,bd7d2477-6026-4764-88ed-49464a0254c3,14/09/2016 05:23:21,5.8,29,2.3,50.764829999999996
8,bd7d2477-6026-4764-88ed-49464a0254c3,14/09/2016 05:23:33,5.3,36,9.3,280.89099999999996
9,bd7d2477-6026-4764-88ed-49464a0254c3,14/09/2016 05:26:39,5.2,34,15.2,423.776
10,bd7d2477-6026-4764-88ed-49464a0254c3,8/9/2016 7:31,5.2,29,2.0,44.143333
11,bd7d2477-6026-4764-88ed-49464a0254c3,8/9/2016 7:27,5.034483,39,8.1,250.0
12,bd7d2477-6026-4764-88ed-49464a0254c3,8/9/2016 7:26,6.0,37,10.1,269.85516
13,bd7d2477-6026-4764-88ed-49464a0254c3,8/9/2016 7:26,5.3,34,9.1,253.708
14,bd7d2477-6026-4764-88ed-49464a0254c3,8/9/2016 7:21,6.0,29,2.4,52.972
15,bd7d2477-6026-4764-88ed-49464a0254c3,8/9/2016 7:26,5.3,36,17.1,516.477
16,bd7d2477-6026-4764-88ed-49464a0254c3,8/9/2016 7:27,5.6,34,16.3,454.444
17,bd7d2477-6026-4764-88ed-49464a0254c3,5/9/2016 22:43,6.4,34,17.9,499.05199999999996
18,bd7d2477-6026-4764-88ed-49464a0254c3,5/9/2016 22:38,6.0,34,12.5,348.5
19,bd7d2477-6026-4764-88ed-49464a0254c3,5/9/2016 22:38,8.3,29,6.6,145.673
20,bd7d2477-6026-4764-88ed-49464a0254c3,5/9/2016 7:41,5.7,35,11.4,331.075
21,bd7d2477-6026-4764-88ed-49464a0254c3,5/9/2016 7:33,5.4,33,13.2,352.68199999999996
22,bd7d2477-6026-4764-88ed-49464a0254c3,5/9/2016 7:37,6.3,36,25.0,755.0833
23,bd7d2477-6026-4764-88ed-49464a0254c3,3/9/2016 12:35,8.5,29,2.4,52.972
24,bd7d2477-6026-4764-88ed-49464a0254c3,3/9/2016 12:22,8.7,32,38.3,978.8203
25,bd7d2477-6026-4764-88ed-49464a0254c3,1/9/2016 22:34,8.4,33,26.6,710.7076400000001
26,bd7d2477-6026-4764-88ed-49464a0254c3,5/9/2016 7:38,8.3,33,26.2,700.0203
27,bd7d2477-6026-4764-88ed-49464a0254c3,3/9/2016 12:22,7.5,33,9.9,264.5115
28,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 21:21:26,8.1,33,12.6,336.651
29,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 21:11:39,8.071428,35,13.0,317.135
30,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 21:17:32,6.8,35,30.8,894.48334
31,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 07:36:40,9.3,29,3.7,81.66516999999999
32,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 07:36:30,8.43038,38,26.9,749.972
33,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 21:18:09,6.9,28,4.4,92.00399999999999
34,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 07:25:13,7.6,36,14.9,450.02966
35,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 07:25:26,8.7,32,15.7,401.23965
36,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 07:25:39,5.6,34,1.5,41.82
37,bd7d2477-6026-4764-88ed-49464a0254c3,3/9/2016 12:28,8.2,34,23.6,657.9680000000001
38,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 07:26:16,7.6,33,13.7,366.04117
39,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 07:26:28,7.0,35,17.1,496.6125
40,bd7d2477-6026-4764-88ed-49464a0254c3,26/08/2016 13:30:55,7.5,39,12.9,390.0
41,bd7d2477-6026-4764-88ed-49464a0254c3,26/08/2016 13:21:41,7.8461536999999995,37,20.3,529.0
42,bd7d2477-6026-4764-88ed-49464a0254c3,26/08/2016 13:32:38,8.2,29,1.5,33.1075
43,bd7d2477-6026-4764-88ed-49464a0254c3,26/08/2016 13:32:51,8.3,33,24.2,646.5837
44,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 07:30:22,8.5,35,23.3,676.67084
45,bd7d2477-6026-4764-88ed-49464a0254c3,26/08/2016 13:33:37,7.8,36,66.6,2011.5420000000001
46,bd7d2477-6026-4764-88ed-49464a0254c3,31/08/2016 07:30:47,8.1,28,1.9,39.729
47,bd7d2477-6026-4764-88ed-49464a0254c3,26/08/2016 13:17:33,6.6,32,12.4,316.90268
48,bd7d2477-6026-4764-88ed-49464a0254c3,26/08/2016 13:20:51,6.9,32,9.9,253.011
49,bd7d2477-6026-4764-88ed-49464a0254c3,26/08/2016 13:21:08,7.9,28,4.2,87.822
50,bd7d2477-6026-4764-88ed-49464a0254c3,26/08/2016 13:21:14,7.3,34,18.2,507.416
