id,uid,time,data,temp,volume,energy
0,c99437a0-5e78-498c-a651-5ccabcdbef49,22/02/2017 10:08:19,7.6,37,20.8,652.3919999999999
1,c99437a0-5e78-498c-a651-5ccabcdbef49,22/02/2017 10:08:22,7.8,37,19.8,621.0269999999999
2,c99437a0-5e78-498c-a651-5ccabcdbef49,22/02/2017 10:08:22,4.0,39,11.2,377.30933
3,c99437a0-5e78-498c-a651-5ccabcdbef49,22/02/2017 10:08:22,6.6,32,17.6,449.79733
4,c99437a0-5e78-498c-a651-5ccabcdbef49,22/02/2017 10:08:22,7.6,35,53.3,1547.9208
5,c99437a0-5e78-498c-a651-5ccabcdbef49,15/02/2017 08:53:53,3.9183673999999997,33,3.2,38.0
6,c99437a0-5e78-498c-a651-5ccabcdbef49,15/02/2017 08:53:17,8.0,35,19.5,566.3125
7,c99437a0-5e78-498c-a651-5ccabcdbef49,15/02/2017 08:53:17,4.0,39,10.4,350.35867
8,c99437a0-5e78-498c-a651-5ccabcdbef49,4/2/2017 7:50,5.7,35,32.7,949.6625
9,c99437a0-5e78-498c-a651-5ccabcdbef49,4/2/2017 7:38,3.9,18,4.4,40.890667
10,c99437a0-5e78-498c-a651-5ccabcdbef49,3/2/2017 8:13,5.9,36,11.8,356.39932000000005
11,c99437a0-5e78-498c-a651-5ccabcdbef49,3/2/2017 8:03,5.684210299999999,35,25.2,806.0
12,c99437a0-5e78-498c-a651-5ccabcdbef49,3/2/2017 8:02,4.9,26,7.5,139.4
13,c99437a0-5e78-498c-a651-5ccabcdbef49,3/2/2017 8:02,6.4,35,10.3,299.12917999999996
14,c99437a0-5e78-498c-a651-5ccabcdbef49,3/2/2017 8:02,7.6,30,16.3,378.70333999999997
15,c99437a0-5e78-498c-a651-5ccabcdbef49,25/01/2017 08:52:46,4.192771,46,5.8,85.0
16,c99437a0-5e78-498c-a651-5ccabcdbef49,25/01/2017 08:52:10,6.5,34,24.3,677.4839999999999
17,c99437a0-5e78-498c-a651-5ccabcdbef49,25/01/2017 08:52:10,5.4,29,13.6,300.17465
18,c99437a0-5e78-498c-a651-5ccabcdbef49,25/01/2017 08:52:02,4.6,16,5.1,35.547
19,c99437a0-5e78-498c-a651-5ccabcdbef49,25/01/2017 08:52:10,6.8,32,32.9,840.81433
20,c99437a0-5e78-498c-a651-5ccabcdbef49,14/01/2017 12:52:28,3.9069767,18,2.8,16.0
