id,uid,time,data,temp,volume,energy
0,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,21/07/2016 11:20:15,11.4,27,1.9,37.52183
1,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,21/07/2016 11:20:28,9.2,39,25.2,848.946
2,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,21/07/2016 11:20:40,13.7,27,4.8,94.792
3,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,18/07/2016 21:42:54,5.9594593,42,14.7,478.0
4,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,18/07/2016 21:40:35,10.0,37,36.2,1135.413
5,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,18/07/2016 21:41:20,8.3,29,2.5,55.179165000000005
6,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,18/07/2016 21:42:23,8.2,41,26.1,939.9045
7,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,26/06/2016 23:33:13,6.0,32,3.4,72.0
8,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,26/06/2016 23:32:53,6.6,27,2.3,45.421165
9,cad375d7-97dd-4cd7-a66d-7c0c4a566d82,21/06/2016 22:45:21,8.275862,26,8.0,148.0
