id,uid,time,data,temp,volume,energy
0,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,28/10/2016 19:46:31,4.4,35,6.4,185.86667
1,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,23/10/2016 20:38:07,5.938775499999999,38,21.9,628.0
2,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,28/10/2016 19:46:56,6.9,35,30.0,871.25
3,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,23/10/2016 20:32:09,4.4,32,9.0,230.01
4,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,14/10/2016 20:26:34,7.897958999999999,37,33.9,985.0
5,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,14/10/2016 20:19:51,6.1,35,15.5,450.14584
6,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,7/10/2016 20:33,7.3012047,39,25.6,757.0
7,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,7/10/2016 20:27,5.2,34,10.2,284.376
8,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,1/10/2016 19:20,7.3411764999999995,39,29.9,910.0
9,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,24/09/2016 14:01:39,7.6513762000000005,38,31.8,939.0
10,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,24/09/2016 13:55:15,5.2,34,9.0,250.92
11,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,21/09/2016 19:54:29,7.52,39,27.5,842.0
12,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,24/09/2016 13:55:40,7.9,37,27.0,846.855
13,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,24/09/2016 13:55:52,5.5,31,10.6,258.587
14,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,21/09/2016 19:49:17,6.0,36,8.9,248.132
15,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,21/09/2016 19:49:29,8.1,38,29.9,903.07965
16,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,9/9/2016 9:59,7.840909,39,33.5,1022.0
17,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,6/9/2016 20:10,7.6941175,37,35.8,1091.0
18,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,6/9/2016 20:03,5.1,33,11.2,299.24532999999997
19,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,5/9/2016 21:56,6.1463413000000005,35,11.4,308.0
20,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,5/9/2016 21:41,6.0,28,0.7,14.0
21,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,28/08/2016 11:26:11,3.1410047999999997,38,32.3,932.0
22,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,5/9/2016 21:52,4.7,34,7.5,209.1
23,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,25/08/2016 11:49:21,8.166667,38,32.1,963.0
24,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,25/08/2016 11:43:07,5.3,32,13.6,347.57068
25,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,23/08/2016 11:57:51,8.150944,38,34.3,1022.0
26,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,22/08/2016 11:38:20,7.9764705000000005,39,29.6,900.0
27,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,19/08/2016 21:25:08,6.0,35,4.6,129.0
28,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,19/08/2016 21:24:36,6.3,36,4.9,142.30417
29,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,19/08/2016 21:17:37,7.9714284,39,26.0,791.0
30,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,17/08/2016 21:04:30,6.0,36,8.1,233.0
31,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,17/08/2016 21:01:15,8.1,38,27.0,815.49
32,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,13/08/2016 20:12:40,3.4927955,37,37.0,1047.0
33,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,17/08/2016 21:03:00,5.0,33,14.3,382.07217
34,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,10/8/2016 11:54,8.32258,39,34.2,1063.0
35,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,10/8/2016 11:48,6.4,32,15.1,385.90567000000004
36,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,7/8/2016 10:25,4.3135133,37,33.4,934.0
37,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,5/8/2016 21:03,6.5555553,35,5.9,147.0
38,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,5/8/2016 9:51,6.0,29,0.2,4.0
39,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,4/8/2016 10:05,7.2,29,1.8,38.0
40,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,4/8/2016 10:05,5.4,33,12.2,325.96365
41,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,3/8/2016 9:32,7.905882400000001,39,29.1,882.0
42,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,2/8/2016 10:02,8.541177000000001,38,33.7,1022.0
43,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,31/07/2016 21:23:13,8.571428,32,1.3,32.0
44,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,31/07/2016 21:23:15,7.3,33,19.5,521.0075
45,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,29/07/2016 20:47:46,8.25,39,24.3,760.0
46,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,29/07/2016 20:36:18,6.1791043,35,6.9,171.0
47,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,31/07/2016 21:23:53,6.5,33,20.1,537.0385
48,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,27/07/2016 11:38:15,7.833333500000001,38,25.9,778.0
49,e9a0b815-bdf6-4f03-9235-e7d9d996bc3e,27/07/2016 11:33:01,9.0,35,28.1,816.0708599999999
