id,uid,time,data,temp,volume,energy
0,ea0ece7b-e299-4316-b199-fbbf4be3ab05,7/2/2017 9:18,5.78125,32,18.5,451.0
1,ea0ece7b-e299-4316-b199-fbbf4be3ab05,4/2/2017 20:56,8.457831,36,23.4,641.0
2,ea0ece7b-e299-4316-b199-fbbf4be3ab05,3/2/2017 12:37,3.0,30,0.2,5.0
3,ea0ece7b-e299-4316-b199-fbbf4be3ab05,3/2/2017 12:21,8.4,34,32.0,892.16
4,ea0ece7b-e299-4316-b199-fbbf4be3ab05,4/2/2017 20:44,8.3,35,87.5,2541.1458
5,ea0ece7b-e299-4316-b199-fbbf4be3ab05,3/2/2017 12:25,7.7,35,46.9,1362.0542
6,ea0ece7b-e299-4316-b199-fbbf4be3ab05,1/2/2017 19:53,8.5,34,44.2,1232.296
7,ea0ece7b-e299-4316-b199-fbbf4be3ab05,1/2/2017 19:51,7.9,35,45.3,1315.5875
8,ea0ece7b-e299-4316-b199-fbbf4be3ab05,31/01/2017 10:04:25,8.1,32,34.5,881.705
9,ea0ece7b-e299-4316-b199-fbbf4be3ab05,4/2/2017 20:55,8.2,35,37.2,1080.35
10,ea0ece7b-e299-4316-b199-fbbf4be3ab05,3/2/2017 12:27,8.7,34,11.3,315.04400000000004
11,ea0ece7b-e299-4316-b199-fbbf4be3ab05,4/2/2017 20:45,9.1,31,17.8,434.231
12,ea0ece7b-e299-4316-b199-fbbf4be3ab05,3/2/2017 12:30,8.7,33,9.9,264.5115
13,ea0ece7b-e299-4316-b199-fbbf4be3ab05,31/01/2017 10:03:15,8.8,35,42.8,1242.9833
14,ea0ece7b-e299-4316-b199-fbbf4be3ab05,31/01/2017 10:03:21,8.1,35,67.0,1945.7916
15,ea0ece7b-e299-4316-b199-fbbf4be3ab05,27/01/2017 11:33:20,8.1,32,44.1,1127.049
16,ea0ece7b-e299-4316-b199-fbbf4be3ab05,26/01/2017 10:16:12,8.3,31,33.8,824.551
17,ea0ece7b-e299-4316-b199-fbbf4be3ab05,4/2/2017 20:49,8.4,33,57.1,1525.6168
18,ea0ece7b-e299-4316-b199-fbbf4be3ab05,31/01/2017 10:03:44,8.1,34,48.5,1352.18
19,ea0ece7b-e299-4316-b199-fbbf4be3ab05,31/01/2017 10:03:49,6.8,36,46.9,1416.5364
20,ea0ece7b-e299-4316-b199-fbbf4be3ab05,24/01/2017 10:09:30,7.3,34,46.5,1296.42
21,ea0ece7b-e299-4316-b199-fbbf4be3ab05,3/2/2017 12:22,7.7,32,6.7,171.22966
22,ea0ece7b-e299-4316-b199-fbbf4be3ab05,23/01/2017 01:26:26,6.4,34,30.3,844.7639999999999
23,ea0ece7b-e299-4316-b199-fbbf4be3ab05,31/01/2017 10:04:18,7.2,33,11.8,315.27634
24,ea0ece7b-e299-4316-b199-fbbf4be3ab05,27/01/2017 11:32:47,6.0,23,4.4,66.447334
25,ea0ece7b-e299-4316-b199-fbbf4be3ab05,27/01/2017 11:33:00,7.3,36,61.4,1854.4846
26,ea0ece7b-e299-4316-b199-fbbf4be3ab05,20/01/2017 10:07:44,6.8,34,37.3,1039.924
27,ea0ece7b-e299-4316-b199-fbbf4be3ab05,20/01/2017 10:07:54,7.3,35,16.2,470.475
28,ea0ece7b-e299-4316-b199-fbbf4be3ab05,26/01/2017 10:15:53,7.2,36,37.8,1141.6860000000001
29,ea0ece7b-e299-4316-b199-fbbf4be3ab05,24/01/2017 10:02:22,7.5,36,46.0,1389.3534
30,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:31:38,6.7,34,32.7,911.676
31,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:36:24,8.0,36,49.6,1498.0853
32,ea0ece7b-e299-4316-b199-fbbf4be3ab05,26/01/2017 10:17:18,8.0,34,16.8,468.384
33,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:36:35,7.3,36,9.7,292.97232
34,ea0ece7b-e299-4316-b199-fbbf4be3ab05,23/01/2017 01:24:48,7.9,36,36.6,1105.442
35,ea0ece7b-e299-4316-b199-fbbf4be3ab05,14/01/2017 11:10:57,6.7,34,28.7,800.1560000000001
36,ea0ece7b-e299-4316-b199-fbbf4be3ab05,23/01/2017 01:25:13,8.8,35,33.1,961.2792
37,ea0ece7b-e299-4316-b199-fbbf4be3ab05,20/01/2017 10:10:09,7.3,36,12.7,383.58234
38,ea0ece7b-e299-4316-b199-fbbf4be3ab05,31/01/2017 10:08:34,7.7,36,62.7,1893.749
39,ea0ece7b-e299-4316-b199-fbbf4be3ab05,20/01/2017 10:14:16,6.3,37,9.4,294.83099999999996
40,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:31:05,7.4,36,21.2,640.3106700000001
41,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:31:11,9.0,35,17.9,519.8458
42,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:31:23,9.5,34,17.7,493.476
43,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:31:28,8.8,35,54.7,1588.5792
44,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:31:34,7.7,36,64.9,1960.1963
45,ea0ece7b-e299-4316-b199-fbbf4be3ab05,20/01/2017 10:15:31,7.1,36,12.2,368.48065
46,ea0ece7b-e299-4316-b199-fbbf4be3ab05,20/01/2017 10:15:43,9.1,34,32.8,914.4639999999999
47,ea0ece7b-e299-4316-b199-fbbf4be3ab05,20/01/2017 10:15:56,7.4,34,33.6,936.768
48,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:34:35,7.9,35,11.3,328.17084
49,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:34:52,9.2,35,74.8,2172.3167
50,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:35:03,7.3,36,13.7,413.78567999999996
51,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:35:15,8.2,34,21.4,596.632
52,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:35:20,9.2,34,39.2,1092.896
53,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:35:32,7.9,34,45.4,1265.752
54,ea0ece7b-e299-4316-b199-fbbf4be3ab05,31/12/2016 13:39:45,7.2,35,38.7,1123.9125
55,ea0ece7b-e299-4316-b199-fbbf4be3ab05,29/12/2016 12:44:17,8.4,20,0.7,8.0
56,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:36:01,9.5,35,57.7,1675.7042
57,ea0ece7b-e299-4316-b199-fbbf4be3ab05,16/01/2017 23:36:12,7.6,34,34.4,959.072
58,ea0ece7b-e299-4316-b199-fbbf4be3ab05,31/12/2016 13:35:08,8.4,34,25.1,699.788
59,ea0ece7b-e299-4316-b199-fbbf4be3ab05,29/12/2016 12:45:15,5.6,32,7.9,201.89766
60,ea0ece7b-e299-4316-b199-fbbf4be3ab05,21/12/2016 20:21:11,6.0,36,0.7,19.0
61,ea0ece7b-e299-4316-b199-fbbf4be3ab05,18/12/2016 20:16:52,5.4492755,37,18.8,519.0
62,ea0ece7b-e299-4316-b199-fbbf4be3ab05,18/12/2016 20:13:55,6.4,34,67.4,1879.112
63,ea0ece7b-e299-4316-b199-fbbf4be3ab05,18/12/2016 20:14:33,9.7,36,69.9,2111.2129999999997
64,ea0ece7b-e299-4316-b199-fbbf4be3ab05,14/12/2016 23:41:35,6.8,35,28.5,827.6875
65,ea0ece7b-e299-4316-b199-fbbf4be3ab05,18/12/2016 20:16:07,7.7,34,7.8,217.46400000000003
66,ea0ece7b-e299-4316-b199-fbbf4be3ab05,14/12/2016 23:40:53,8.9,33,17.0,454.21167
67,ea0ece7b-e299-4316-b199-fbbf4be3ab05,18/12/2016 20:16:32,9.5,32,9.2,235.12134
68,ea0ece7b-e299-4316-b199-fbbf4be3ab05,12/12/2016 11:35,8.5,35,53.8,1562.4417
69,ea0ece7b-e299-4316-b199-fbbf4be3ab05,11/12/2016 22:32,8.6,36,100.2,3026.3740000000003
70,ea0ece7b-e299-4316-b199-fbbf4be3ab05,11/12/2016 22:31,7.5,34,9.4,262.072
71,ea0ece7b-e299-4316-b199-fbbf4be3ab05,18/12/2016 20:19:51,6.4,32,6.7,171.22966
72,ea0ece7b-e299-4316-b199-fbbf4be3ab05,12/12/2016 11:35,10.0,34,7.0,195.16
73,ea0ece7b-e299-4316-b199-fbbf4be3ab05,12/12/2016 11:35,8.8,35,60.5,1757.0209
74,ea0ece7b-e299-4316-b199-fbbf4be3ab05,6/12/2016 10:57,7.6,36,43.7,1319.8856
75,ea0ece7b-e299-4316-b199-fbbf4be3ab05,6/12/2016 10:56,9.4,34,11.4,317.832
