id,uid,time,data,temp,volume,energy
0,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,9/9/2016 23:11,8.04878,39,5.5,175.0
1,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,6/9/2016 19:37,6.0,31,0.2,4.0
2,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,5/9/2016 14:34,6.0,31,0.1,2.0
3,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,17/08/2016 15:22:26,7.6363635,34,4.2,123.0
4,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,24/07/2016 21:34:55,5.0666666,38,19.0,569.0
5,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,17/07/2016 19:31:29,6.3,40,5.4,188.0
6,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,17/07/2016 19:30:44,5.2,38,15.0,487.9
7,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,16/07/2016 20:06:11,7.0,35,4.0,107.0
8,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,16/07/2016 20:05:42,7.8,27,3.1,61.219832999999994
9,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,17/07/2016 19:31:22,5.9,42,4.3,159.84534
10,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,16/07/2016 20:06:09,6.2,33,8.6,229.77766
11,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,6/6/2016 17:26,4.6229510000000005,24,4.7,73.0
12,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,6/6/2016 17:26,7.1,31,6.4,156.128
13,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,15/05/2016 17:52:40,2.4955752,23,4.7,68.0
14,f16cb98b-1d0c-4455-8a80-dc813e4b5e10,15/05/2016 17:52:26,6.3,38,19.9,647.2806400000001
