id,uid,time,data,temp,volume,energy
0,f52689e3-20d0-4d3e-980d-1cfd6076a975,10/1/2017 6:53,4.064516,16,2.1,16.0
1,f52689e3-20d0-4d3e-980d-1cfd6076a975,8/1/2017 12:26,4.5,39,35.1,1182.4604
2,f52689e3-20d0-4d3e-980d-1cfd6076a975,8/1/2017 12:16,4.8,35,52.1,1513.0708
3,f52689e3-20d0-4d3e-980d-1cfd6076a975,6/1/2017 8:58,4.1,35,45.1,1309.7792
4,f52689e3-20d0-4d3e-980d-1cfd6076a975,6/1/2017 8:47,4.6,35,47.5,1379.4791
5,f52689e3-20d0-4d3e-980d-1cfd6076a975,6/1/2017 8:47,4.8,29,23.3,514.26984
6,f52689e3-20d0-4d3e-980d-1cfd6076a975,6/1/2017 8:47,3.8,16,1.5,10.455
7,f52689e3-20d0-4d3e-980d-1cfd6076a975,3/1/2017 7:17,4.3,34,39.0,1087.32
8,f52689e3-20d0-4d3e-980d-1cfd6076a975,2/1/2017 7:11,4.6,34,60.4,1683.9520000000002
9,f52689e3-20d0-4d3e-980d-1cfd6076a975,2/1/2017 6:56,4.8,37,52.4,1643.526
10,f52689e3-20d0-4d3e-980d-1cfd6076a975,29/12/2016 11:03:35,4.7,36,50.4,1522.2479999999998
11,f52689e3-20d0-4d3e-980d-1cfd6076a975,27/12/2016 07:18:26,4.7,35,47.3,1373.6708
12,f52689e3-20d0-4d3e-980d-1cfd6076a975,26/12/2016 11:44:15,4.7,37,63.7,1997.9504
13,f52689e3-20d0-4d3e-980d-1cfd6076a975,26/12/2016 11:30:18,4.9,33,30.6,817.581
14,f52689e3-20d0-4d3e-980d-1cfd6076a975,23/12/2016 09:22:42,4.8,35,30.5,885.7708
15,f52689e3-20d0-4d3e-980d-1cfd6076a975,21/12/2016 07:12:56,4.5,37,66.4,2082.636
16,f52689e3-20d0-4d3e-980d-1cfd6076a975,20/12/2016 07:19:06,4.7,34,46.1,1285.268
17,f52689e3-20d0-4d3e-980d-1cfd6076a975,20/12/2016 07:09:46,4.6,36,41.3,1247.3977
18,f52689e3-20d0-4d3e-980d-1cfd6076a975,16/12/2016 07:11:29,4.7,34,38.3,1067.8039999999999
19,f52689e3-20d0-4d3e-980d-1cfd6076a975,15/12/2016 07:09:59,4.8,35,43.0,1248.7916
20,f52689e3-20d0-4d3e-980d-1cfd6076a975,13/12/2016 20:56:11,4.8,36,72.6,2192.762
21,f52689e3-20d0-4d3e-980d-1cfd6076a975,13/12/2016 07:06:24,4.8,35,39.9,1158.7625
22,f52689e3-20d0-4d3e-980d-1cfd6076a975,12/12/2016 7:04,4.4,36,49.7,1501.1057
23,f52689e3-20d0-4d3e-980d-1cfd6076a975,13/12/2016 20:39:30,4.9,35,37.1,1077.4458
24,f52689e3-20d0-4d3e-980d-1cfd6076a975,12/12/2016 6:54,4.9,34,42.4,1182.112
25,f52689e3-20d0-4d3e-980d-1cfd6076a975,7/12/2016 7:12,4.9,34,36.3,1012.044
26,f52689e3-20d0-4d3e-980d-1cfd6076a975,5/12/2016 18:44,4.7,37,57.8,1812.8970000000002
27,f52689e3-20d0-4d3e-980d-1cfd6076a975,5/12/2016 18:51,4.2,19,6.0,62.73
28,f52689e3-20d0-4d3e-980d-1cfd6076a975,3/12/2016 11:28,4.5,36,47.2,1425.5973
29,f52689e3-20d0-4d3e-980d-1cfd6076a975,2/12/2016 7:00,4.8,36,46.1,1392.3737
30,f52689e3-20d0-4d3e-980d-1cfd6076a975,1/12/2016 7:13,4.7,42,42.3,1181.0
31,f52689e3-20d0-4d3e-980d-1cfd6076a975,30/11/2016 07:14:18,4.6153846,42,35.1,1019.3625
32,f52689e3-20d0-4d3e-980d-1cfd6076a975,29/11/2016 07:00:26,4.5,35,37.3,1083.2542
33,f52689e3-20d0-4d3e-980d-1cfd6076a975,27/11/2016 13:28:22,4.6844263,42,46.7,1415.0
34,f52689e3-20d0-4d3e-980d-1cfd6076a975,26/11/2016 09:22:02,4.7,40,28.6,764.14435
35,f52689e3-20d0-4d3e-980d-1cfd6076a975,25/11/2016 07:02:57,4.4,35,39.8,1155.8583
36,f52689e3-20d0-4d3e-980d-1cfd6076a975,24/11/2016 07:10:31,4.7380953,41,39.9,1158.7625
37,f52689e3-20d0-4d3e-980d-1cfd6076a975,23/11/2016 07:00:03,4.6,36,37.0,1117.5233
38,f52689e3-20d0-4d3e-980d-1cfd6076a975,24/11/2016 07:02:41,6.6,19,3.3,34.5015
39,f52689e3-20d0-4d3e-980d-1cfd6076a975,22/11/2016 07:04:16,4.5,43,32.5,957.0
40,f52689e3-20d0-4d3e-980d-1cfd6076a975,20/11/2016 10:07:37,4.8,37,65.9,2066.9536
41,f52689e3-20d0-4d3e-980d-1cfd6076a975,19/11/2016 20:14:49,5.162791,42,45.8,1383.3126
42,f52689e3-20d0-4d3e-980d-1cfd6076a975,18/11/2016 07:07:21,4.6,41,26.7,715.0
43,f52689e3-20d0-4d3e-980d-1cfd6076a975,18/11/2016 07:01:51,4.4,35,36.6,1062.925
44,f52689e3-20d0-4d3e-980d-1cfd6076a975,15/11/2016 06:55:37,4.440748,41,35.7,1128.0
45,f52689e3-20d0-4d3e-980d-1cfd6076a975,13/11/2016 16:36:26,4.9671483,42,74.8,2346.1020000000003
46,f52689e3-20d0-4d3e-980d-1cfd6076a975,12/11/2016 18:39,5.3846154,42,48.4,1413.0
47,f52689e3-20d0-4d3e-980d-1cfd6076a975,11/11/2016 6:50,4.87108,41,33.3,970.0
48,f52689e3-20d0-4d3e-980d-1cfd6076a975,10/11/2016 6:57,4.334328,41,24.4,651.9273
49,f52689e3-20d0-4d3e-980d-1cfd6076a975,9/11/2016 6:52,4.2,43,51.4,1492.7417
50,f52689e3-20d0-4d3e-980d-1cfd6076a975,8/11/2016 6:51,3.7,35,17.6,511.13333
51,f52689e3-20d0-4d3e-980d-1cfd6076a975,7/11/2016 7:02,4.8,42,28.2,818.975
52,f52689e3-20d0-4d3e-980d-1cfd6076a975,7/11/2016 6:56,5.1,35,42.5,1234.2709
53,f52689e3-20d0-4d3e-980d-1cfd6076a975,5/11/2016 20:20,5.6,39,18.4,433.0
54,f52689e3-20d0-4d3e-980d-1cfd6076a975,5/11/2016 8:30,5.3,38,32.8,838.25867
55,f52689e3-20d0-4d3e-980d-1cfd6076a975,5/11/2016 8:30,5.1,22,5.9,82.24600000000001
56,f52689e3-20d0-4d3e-980d-1cfd6076a975,4/11/2016 7:03,4.5365853,42,24.9,723.1375
57,f52689e3-20d0-4d3e-980d-1cfd6076a975,3/11/2016 6:57,4.8727274000000005,42,35.5,1072.2184
58,f52689e3-20d0-4d3e-980d-1cfd6076a975,2/11/2016 7:08,4.9,41,27.9,783.0
59,f52689e3-20d0-4d3e-980d-1cfd6076a975,1/11/2016 12:44,5.7250676,44,52.2,1576.614
60,f52689e3-20d0-4d3e-980d-1cfd6076a975,31/10/2016 10:27:44,5.3,42,39.1,1180.9503
61,f52689e3-20d0-4d3e-980d-1cfd6076a975,29/10/2016 18:43:11,5.428571,43,49.7,1558.8405
62,f52689e3-20d0-4d3e-980d-1cfd6076a975,28/10/2016 07:08:44,5.541741,42,66.1,2090.0
63,f52689e3-20d0-4d3e-980d-1cfd6076a975,27/10/2016 07:01:42,5.3,40,21.0,561.085
64,f52689e3-20d0-4d3e-980d-1cfd6076a975,26/10/2016 07:05:17,5.2,41,33.3,967.0875
65,f52689e3-20d0-4d3e-980d-1cfd6076a975,25/10/2016 07:00:05,5.0,42,37.9,1144.7063
66,f52689e3-20d0-4d3e-980d-1cfd6076a975,24/10/2016 07:09:15,9.0,38,18.1,546.68036
67,f52689e3-20d0-4d3e-980d-1cfd6076a975,24/10/2016 07:03:03,5.4,43,49.6,1498.0853
68,f52689e3-20d0-4d3e-980d-1cfd6076a975,22/10/2016 21:38:00,5.0220265,40,19.3,493.24365
69,f52689e3-20d0-4d3e-980d-1cfd6076a975,21/10/2016 07:06:45,5.290323,42,33.2,971.0
70,f52689e3-20d0-4d3e-980d-1cfd6076a975,19/10/2016 07:08:49,5.142857,40,30.1,874.1542
71,f52689e3-20d0-4d3e-980d-1cfd6076a975,18/10/2016 07:15:33,5.908665,41,87.7,2750.7104
72,f52689e3-20d0-4d3e-980d-1cfd6076a975,17/10/2016 07:11:43,5.5,41,44.9,1321.0
73,f52689e3-20d0-4d3e-980d-1cfd6076a975,18/10/2016 07:09:58,5.4,37,58.6,1837.989
74,f52689e3-20d0-4d3e-980d-1cfd6076a975,18/10/2016 07:02:16,5.4,37,55.9,1753.3035
75,f52689e3-20d0-4d3e-980d-1cfd6076a975,13/10/2016 06:59:46,5.4,41,55.6,1743.894
76,f52689e3-20d0-4d3e-980d-1cfd6076a975,11/10/2016 6:55,5.3,38,36.1,1090.3403
77,f52689e3-20d0-4d3e-980d-1cfd6076a975,11/10/2016 6:50,6.0,26,2.9,53.901332999999994
78,f52689e3-20d0-4d3e-980d-1cfd6076a975,13/10/2016 06:50:15,6.1,38,27.5,894.48334
79,f52689e3-20d0-4d3e-980d-1cfd6076a975,11/10/2016 6:50,5.4,39,43.3,1458.7048
80,f52689e3-20d0-4d3e-980d-1cfd6076a975,8/10/2016 13:07,5.6,41,42.5,1234.2709
81,f52689e3-20d0-4d3e-980d-1cfd6076a975,7/10/2016 7:03,6.047022,41,82.9,2600.1584
82,f52689e3-20d0-4d3e-980d-1cfd6076a975,6/10/2016 6:59,5.5,39,46.9,1416.5364
83,f52689e3-20d0-4d3e-980d-1cfd6076a975,5/10/2016 6:57,5.0,41,34.2,1032.954
84,f52689e3-20d0-4d3e-980d-1cfd6076a975,4/10/2016 7:02,5.1,42,55.9,1818.2407
85,f52689e3-20d0-4d3e-980d-1cfd6076a975,3/10/2016 6:46,5.5,41,39.8,1202.0927
86,f52689e3-20d0-4d3e-980d-1cfd6076a975,30/09/2016 07:00:03,5.746268700000001,41,51.7,1621.5706
87,f52689e3-20d0-4d3e-980d-1cfd6076a975,29/09/2016 06:58:36,5.425234,41,39.6,1242.0539999999999
88,f52689e3-20d0-4d3e-980d-1cfd6076a975,28/09/2016 06:59:20,5.3474803,41,43.5,1313.845
89,f52689e3-20d0-4d3e-980d-1cfd6076a975,28/09/2016 06:51:34,4.7,35,23.7,688.2875
90,f52689e3-20d0-4d3e-980d-1cfd6076a975,26/09/2016 06:50:58,5.4,41,41.4,1270.0
91,f52689e3-20d0-4d3e-980d-1cfd6076a975,25/09/2016 10:13:23,6.0,42,19.5,638.0
92,f52689e3-20d0-4d3e-980d-1cfd6076a975,25/09/2016 10:06:44,5.5030675,42,39.6,1242.0539999999999
93,f52689e3-20d0-4d3e-980d-1cfd6076a975,23/09/2016 07:00:53,5.8588233,40,49.6,1498.0853
94,f52689e3-20d0-4d3e-980d-1cfd6076a975,22/09/2016 06:59:47,5.318182,41,28.6,830.5917
95,f52689e3-20d0-4d3e-980d-1cfd6076a975,21/09/2016 07:08:29,5.2108846,42,38.7,1213.8254
96,f52689e3-20d0-4d3e-980d-1cfd6076a975,20/09/2016 06:57:16,5.6,39,56.8,1715.5493
97,f52689e3-20d0-4d3e-980d-1cfd6076a975,20/09/2016 07:05:33,5.4,36,40.2,1214.174
98,f52689e3-20d0-4d3e-980d-1cfd6076a975,20/09/2016 07:05:45,4.8,26,3.2,59.477332999999994
99,f52689e3-20d0-4d3e-980d-1cfd6076a975,17/09/2016 19:57:37,4.6,42,39.6,1019.0
100,f52689e3-20d0-4d3e-980d-1cfd6076a975,16/09/2016 20:45:49,5.2,38,16.3,435.50882
101,f52689e3-20d0-4d3e-980d-1cfd6076a975,16/09/2016 07:11:35,5.1,40,22.3,647.62915
102,f52689e3-20d0-4d3e-980d-1cfd6076a975,16/09/2016 07:06:50,5.0,33,32.2,860.3303
103,f52689e3-20d0-4d3e-980d-1cfd6076a975,14/09/2016 07:00:28,5.259494,40,27.7,836.6323
104,f52689e3-20d0-4d3e-980d-1cfd6076a975,13/09/2016 07:01:14,5.3,40,30.7,927.2423
105,f52689e3-20d0-4d3e-980d-1cfd6076a975,12/9/2016 7:05,5.64,40,41.6,1304.7839999999999
106,f52689e3-20d0-4d3e-980d-1cfd6076a975,7/9/2016 11:12,5.050633,40,18.6,555.0
107,f52689e3-20d0-4d3e-980d-1cfd6076a975,6/9/2016 13:30,5.5,41,17.7,493.476
108,f52689e3-20d0-4d3e-980d-1cfd6076a975,7/9/2016 11:09,6.0,37,39.5,1238.9175
109,f52689e3-20d0-4d3e-980d-1cfd6076a975,6/9/2016 13:27,5.2,34,20.8,579.904
110,f52689e3-20d0-4d3e-980d-1cfd6076a975,3/9/2016 14:23,3.8421052,39,7.3,169.0
111,f52689e3-20d0-4d3e-980d-1cfd6076a975,3/9/2016 14:21,5.4,36,19.9,601.0463
112,f52689e3-20d0-4d3e-980d-1cfd6076a975,2/9/2016 7:08,5.575472,42,59.6,1897.0
113,f52689e3-20d0-4d3e-980d-1cfd6076a975,1/9/2016 7:09,5.1,41,36.1,1090.3403
114,f52689e3-20d0-4d3e-980d-1cfd6076a975,31/08/2016 07:10:08,5.3,41,32.3,981.0
115,f52689e3-20d0-4d3e-980d-1cfd6076a975,30/08/2016 07:10:03,5.2533335999999995,41,39.4,1202.0
116,f52689e3-20d0-4d3e-980d-1cfd6076a975,28/08/2016 19:17:26,4.5,41,24.9,684.0
117,f52689e3-20d0-4d3e-980d-1cfd6076a975,27/08/2016 20:14:13,4.4,27,3.5,69.0
118,f52689e3-20d0-4d3e-980d-1cfd6076a975,26/08/2016 22:55:09,4.936709,42,19.5,570.0
119,f52689e3-20d0-4d3e-980d-1cfd6076a975,26/08/2016 07:29:48,6.0,42,53.8,1701.0
120,f52689e3-20d0-4d3e-980d-1cfd6076a975,25/08/2016 07:31:50,5.752809,42,44.2,1391.0
121,f52689e3-20d0-4d3e-980d-1cfd6076a975,24/08/2016 07:22:43,5.601329,39,28.1,795.0
122,f52689e3-20d0-4d3e-980d-1cfd6076a975,24/08/2016 07:18:01,5.8,38,44.4,1444.184
123,f52689e3-20d0-4d3e-980d-1cfd6076a975,22/08/2016 07:00:08,5.3333335,29,6.2,126.0
124,f52689e3-20d0-4d3e-980d-1cfd6076a975,21/08/2016 15:16:18,5.472,28,11.4,232.0
125,f52689e3-20d0-4d3e-980d-1cfd6076a975,20/08/2016 20:03:15,3.0,28,0.1,2.0
126,f52689e3-20d0-4d3e-980d-1cfd6076a975,19/08/2016 18:14:52,3.0,28,0.2,4.0
127,f52689e3-20d0-4d3e-980d-1cfd6076a975,18/08/2016 19:33:27,5.088,39,50.1,1501.0
128,f52689e3-20d0-4d3e-980d-1cfd6076a975,18/08/2016 07:29:42,4.5,42,27.2,829.0
129,f52689e3-20d0-4d3e-980d-1cfd6076a975,17/08/2016 07:25:19,4.4564314000000005,42,26.2,821.0
130,f52689e3-20d0-4d3e-980d-1cfd6076a975,10/8/2016 17:42,4.1538463,37,7.7,169.0
131,f52689e3-20d0-4d3e-980d-1cfd6076a975,17/08/2016 07:19:49,5.1,34,16.6,462.80800000000005
132,f52689e3-20d0-4d3e-980d-1cfd6076a975,8/8/2016 18:27,5.583596,39,34.3,1006.0
133,f52689e3-20d0-4d3e-980d-1cfd6076a975,8/8/2016 15:05,4.5,27,0.4,7.0
134,f52689e3-20d0-4d3e-980d-1cfd6076a975,7/8/2016 18:30,9.2,28,16.0,323.0
135,f52689e3-20d0-4d3e-980d-1cfd6076a975,6/8/2016 19:40,5.44,39,36.0,1030.0
136,f52689e3-20d0-4d3e-980d-1cfd6076a975,4/8/2016 21:27,5.715517,37,37.2,1031.0
137,f52689e3-20d0-4d3e-980d-1cfd6076a975,4/8/2016 21:20,8.6,28,11.1,232.101
138,f52689e3-20d0-4d3e-980d-1cfd6076a975,4/8/2016 21:20,8.1,28,3.9,81.54899999999999
139,f52689e3-20d0-4d3e-980d-1cfd6076a975,31/07/2016 14:58:11,3.0,28,0.1,2.0
140,f52689e3-20d0-4d3e-980d-1cfd6076a975,30/07/2016 19:24:04,5.876289,39,36.0,1051.0
141,f52689e3-20d0-4d3e-980d-1cfd6076a975,30/07/2016 11:39:17,6.045226,42,54.3,1607.0
142,f52689e3-20d0-4d3e-980d-1cfd6076a975,26/07/2016 22:24:56,5.602041000000001,32,18.3,450.0
143,f52689e3-20d0-4d3e-980d-1cfd6076a975,30/07/2016 11:29:04,5.7,33,31.4,838.9557
144,f52689e3-20d0-4d3e-980d-1cfd6076a975,30/07/2016 11:29:16,5.8,36,13.5,407.745
145,f52689e3-20d0-4d3e-980d-1cfd6076a975,30/07/2016 11:29:29,5.1,37,29.1,912.7215
146,f52689e3-20d0-4d3e-980d-1cfd6076a975,23/07/2016 19:42:52,5.7534246,41,39.3,1167.0
147,f52689e3-20d0-4d3e-980d-1cfd6076a975,21/07/2016 21:12:00,4.4,28,3.3,65.0
148,f52689e3-20d0-4d3e-980d-1cfd6076a975,21/07/2016 12:35:09,6.2739725,39,28.9,836.0
149,f52689e3-20d0-4d3e-980d-1cfd6076a975,20/07/2016 08:18:52,4.5,27,0.5,9.0
150,f52689e3-20d0-4d3e-980d-1cfd6076a975,20/07/2016 08:18:57,6.0,33,18.7,499.63284000000004
151,f52689e3-20d0-4d3e-980d-1cfd6076a975,17/07/2016 19:36:08,5.383929,41,21.6,612.0
152,f52689e3-20d0-4d3e-980d-1cfd6076a975,15/07/2016 07:25:13,6.0436363,39,33.6,1007.0
153,f52689e3-20d0-4d3e-980d-1cfd6076a975,14/07/2016 07:38:06,6.3444977,40,45.5,1385.0
154,f52689e3-20d0-4d3e-980d-1cfd6076a975,13/07/2016 07:17:28,5.736842,41,32.7,1024.0
155,f52689e3-20d0-4d3e-980d-1cfd6076a975,13/07/2016 07:12:06,5.8,35,30.1,874.1542
156,f52689e3-20d0-4d3e-980d-1cfd6076a975,10/7/2016 21:24,5.644737,43,43.1,1375.0
157,f52689e3-20d0-4d3e-980d-1cfd6076a975,9/7/2016 19:25,6.1875,40,24.8,744.0
158,f52689e3-20d0-4d3e-980d-1cfd6076a975,8/7/2016 21:39,5.4857144,28,3.2,64.0
