id,uid,time,data,temp,volume,energy
0,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:07,5.3333335,26,0.8,9.0
1,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:10,5.3,34,15.7,437.716
2,f74e9b03-99e0-4840-972c-bd5d32e8a627,20/02/2017 07:46:11,3.0,16,0.1,0.0
3,f74e9b03-99e0-4840-972c-bd5d32e8a627,13/02/2017 07:40:47,5.142857,23,0.6,5.0
4,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:36,4.344827700000001,37,4.2,105.0
5,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:35,6.2,32,20.2,516.2447
6,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:36,5.2,34,18.2,507.416
7,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:36,5.8,33,16.3,435.50882
8,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:36,5.1,33,17.1,456.8835
9,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:39,5.2173915,31,2.0,32.0
10,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:51,5.3,34,20.5,571.54
11,f74e9b03-99e0-4840-972c-bd5d32e8a627,4/1/2017 7:47,4.5,17,0.3,1.0
12,f74e9b03-99e0-4840-972c-bd5d32e8a627,26/12/2016 12:35:55,5.142857,21,0.6,5.0
13,f74e9b03-99e0-4840-972c-bd5d32e8a627,2/12/2016 7:41,6.818182000000001,35,3.2,67.0
14,f74e9b03-99e0-4840-972c-bd5d32e8a627,2/12/2016 7:41,5.3,31,14.4,351.288
15,f74e9b03-99e0-4840-972c-bd5d32e8a627,28/02/2017 07:48:09,5.8,36,22.5,679.575
16,f74e9b03-99e0-4840-972c-bd5d32e8a627,28/02/2017 07:48:09,5.6,31,16.7,407.3965
17,f74e9b03-99e0-4840-972c-bd5d32e8a627,28/02/2017 07:48:09,5.2,36,16.7,504.39565999999996
18,f74e9b03-99e0-4840-972c-bd5d32e8a627,28/02/2017 07:48:09,4.4,34,13.4,373.592
19,f74e9b03-99e0-4840-972c-bd5d32e8a627,28/02/2017 07:48:09,5.4,35,18.1,525.6542
20,f74e9b03-99e0-4840-972c-bd5d32e8a627,24/11/2016 07:37:51,5.111111,33,3.4,71.0
21,f74e9b03-99e0-4840-972c-bd5d32e8a627,24/11/2016 07:37:24,6.0,34,12.9,359.652
22,f74e9b03-99e0-4840-972c-bd5d32e8a627,24/11/2016 07:37:36,5.7,34,20.4,568.752
23,f74e9b03-99e0-4840-972c-bd5d32e8a627,21/11/2016 07:40:40,6.0,36,15.0,453.05
24,f74e9b03-99e0-4840-972c-bd5d32e8a627,21/11/2016 07:40:18,4.7,32,19.9,508.57767
25,f74e9b03-99e0-4840-972c-bd5d32e8a627,21/11/2016 07:40:30,4.1,35,15.0,435.625
26,f74e9b03-99e0-4840-972c-bd5d32e8a627,15/11/2016 07:40:10,4.5,32,8.8,224.89867
27,f74e9b03-99e0-4840-972c-bd5d32e8a627,14/11/2016 07:54:56,4.5,35,1.9,41.0
28,f74e9b03-99e0-4840-972c-bd5d32e8a627,14/11/2016 07:54:36,5.4,34,16.3,454.444
29,f74e9b03-99e0-4840-972c-bd5d32e8a627,14/11/2016 07:54:49,5.2,33,16.2,432.837
30,f74e9b03-99e0-4840-972c-bd5d32e8a627,11/11/2016 7:34,4.2352943,32,1.4,26.0
31,f74e9b03-99e0-4840-972c-bd5d32e8a627,11/11/2016 7:34,4.7,33,7.5,200.3875
32,f74e9b03-99e0-4840-972c-bd5d32e8a627,6/11/2016 11:54,6.0,22,1.6,22.0
33,f74e9b03-99e0-4840-972c-bd5d32e8a627,28/02/2017 07:48:00,5.1,34,16.2,451.656
34,f74e9b03-99e0-4840-972c-bd5d32e8a627,4/11/2016 7:32,4.5,22,0.5,6.0
35,f74e9b03-99e0-4840-972c-bd5d32e8a627,3/11/2016 7:38,4.0,26,0.8,12.0
36,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:24,4.5,34,16.3,454.444
37,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:24,6.1,29,18.2,401.70435
38,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:24,4.6,33,13.5,360.6975
39,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:24,5.7,33,15.7,419.47784
40,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:24,4.5,28,12.4,259.284
41,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:24,4.7,35,16.0,464.66666
42,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:24,5.2,32,13.2,337.348
43,f74e9b03-99e0-4840-972c-bd5d32e8a627,26/10/2016 07:31:32,4.3125,34,2.5,50.0
44,f74e9b03-99e0-4840-972c-bd5d32e8a627,26/10/2016 07:31:09,5.7,32,17.7,452.353
45,f74e9b03-99e0-4840-972c-bd5d32e8a627,24/10/2016 07:44:55,4.4,37,9.3,259.284
46,f74e9b03-99e0-4840-972c-bd5d32e8a627,24/10/2016 07:44:25,5.7,33,16.5,440.8525
47,f74e9b03-99e0-4840-972c-bd5d32e8a627,24/10/2016 07:44:37,5.1,29,17.4,384.04699999999997
48,f74e9b03-99e0-4840-972c-bd5d32e8a627,21/10/2016 07:29:46,2.9189187999999997,35,1.8,42.0
49,f74e9b03-99e0-4840-972c-bd5d32e8a627,20/10/2016 07:40:27,5.7,32,4.9,114.0
50,f74e9b03-99e0-4840-972c-bd5d32e8a627,19/10/2016 07:28:31,4.147059,37,5.0,123.0
51,f74e9b03-99e0-4840-972c-bd5d32e8a627,17/10/2016 07:29:57,4.7586207,36,4.6,124.0
52,f74e9b03-99e0-4840-972c-bd5d32e8a627,19/10/2016 07:27:43,5.4,33,16.6,443.52432000000005
53,f74e9b03-99e0-4840-972c-bd5d32e8a627,19/10/2016 07:27:56,5.6,36,18.0,543.66
54,f74e9b03-99e0-4840-972c-bd5d32e8a627,19/10/2016 07:28:08,4.7,32,12.2,311.79132000000004
55,f74e9b03-99e0-4840-972c-bd5d32e8a627,19/10/2016 07:28:21,4.9,34,15.1,420.98800000000006
56,f74e9b03-99e0-4840-972c-bd5d32e8a627,11/10/2016 7:24,5.068965400000001,34,6.2,143.0
57,f74e9b03-99e0-4840-972c-bd5d32e8a627,10/10/2016 7:34,4.7234044,38,3.9,111.0
58,f74e9b03-99e0-4840-972c-bd5d32e8a627,11/10/2016 7:24,5.4,36,19.1,576.88367
59,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/10/2016 12:52,5.714286,32,6.8,148.0
60,f74e9b03-99e0-4840-972c-bd5d32e8a627,10/10/2016 7:34,5.1,35,9.0,261.375
61,f74e9b03-99e0-4840-972c-bd5d32e8a627,7/10/2016 7:30,4.862069,36,4.7,117.0
62,f74e9b03-99e0-4840-972c-bd5d32e8a627,6/10/2016 7:35,3.9375,32,2.1,47.0
63,f74e9b03-99e0-4840-972c-bd5d32e8a627,6/10/2016 7:35,5.2,30,12.8,297.38666
64,f74e9b03-99e0-4840-972c-bd5d32e8a627,6/10/2016 7:35,4.4,33,11.8,315.27634
65,f74e9b03-99e0-4840-972c-bd5d32e8a627,3/10/2016 7:46,3.96,37,8.1,228.0
66,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:35,4.7,33,14.8,395.43134
67,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:35,4.0,32,13.6,347.57068
68,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:35,4.9,30,12.3,285.77
69,f74e9b03-99e0-4840-972c-bd5d32e8a627,29/09/2016 07:44:53,4.714286,33,6.9,173.0
70,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/02/2017 07:43:15,4.7,35,11.2,325.26666
71,f74e9b03-99e0-4840-972c-bd5d32e8a627,29/09/2016 07:42:48,5.7,33,18.6,496.961
72,f74e9b03-99e0-4840-972c-bd5d32e8a627,3/10/2016 7:46,4.5,35,7.7,223.62082999999998
73,f74e9b03-99e0-4840-972c-bd5d32e8a627,26/09/2016 07:30:11,3.4285714999999994,30,0.8,16.0
74,f74e9b03-99e0-4840-972c-bd5d32e8a627,3/10/2016 7:46,5.4,34,17.6,490.68800000000005
75,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:35,4.2,31,12.6,307.377
76,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:35,3.8,28,2.3,48.093
77,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:35,4.9,31,12.8,312.256
78,f74e9b03-99e0-4840-972c-bd5d32e8a627,29/09/2016 07:46:59,4.5,32,14.4,368.01599999999996
79,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:35,5.5,31,13.3,324.4535
80,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/2/2017 7:35,4.5,32,14.7,375.68300000000005
81,f74e9b03-99e0-4840-972c-bd5d32e8a627,19/09/2016 07:35:02,3.5625,35,1.9,42.0
82,f74e9b03-99e0-4840-972c-bd5d32e8a627,18/09/2016 11:20:22,2.5714285,26,0.3,5.0
83,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:32,4.0,32,9.5,242.78832999999997
84,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:32,4.7,32,11.4,291.346
85,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:32,4.5,35,12.4,360.11667
86,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:32,4.8,32,11.1,283.67900000000003
87,f74e9b03-99e0-4840-972c-bd5d32e8a627,13/09/2016 07:29:13,4.285714,37,5.2,138.0
88,f74e9b03-99e0-4840-972c-bd5d32e8a627,12/9/2016 7:41,5.2363634,35,4.8,130.0
89,f74e9b03-99e0-4840-972c-bd5d32e8a627,11/9/2016 11:31,6.0,37,6.8,178.0
90,f74e9b03-99e0-4840-972c-bd5d32e8a627,12/9/2016 7:41,4.7,31,11.6,282.982
91,f74e9b03-99e0-4840-972c-bd5d32e8a627,11/9/2016 11:30,5.5,33,12.1,323.29184
92,f74e9b03-99e0-4840-972c-bd5d32e8a627,9/9/2016 6:35,4.6666665,37,2.3,56.0
93,f74e9b03-99e0-4840-972c-bd5d32e8a627,9/9/2016 6:35,5.6,33,14.5,387.41582999999997
94,f74e9b03-99e0-4840-972c-bd5d32e8a627,7/9/2016 6:36,3.4,33,3.4,83.0
95,f74e9b03-99e0-4840-972c-bd5d32e8a627,7/9/2016 6:35,6.1,31,16.5,402.5175
96,f74e9b03-99e0-4840-972c-bd5d32e8a627,5/9/2016 6:30,5.672727,36,5.2,147.0
97,f74e9b03-99e0-4840-972c-bd5d32e8a627,3/9/2016 11:35,4.581818,35,4.6,110.0
98,f74e9b03-99e0-4840-972c-bd5d32e8a627,3/9/2016 11:34,5.3,32,14.0,357.79332999999997
99,f74e9b03-99e0-4840-972c-bd5d32e8a627,2/9/2016 6:45,3.5769231,33,3.1,80.0
100,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/08/2016 19:28:26,4.7234044,35,5.3,127.0
101,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/08/2016 19:27:30,5.1,34,15.1,420.98800000000006
102,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/08/2016 19:27:42,4.7,34,12.9,359.652
103,f74e9b03-99e0-4840-972c-bd5d32e8a627,29/08/2016 06:40:32,3.5294117999999997,33,2.0,49.0
104,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/08/2016 19:28:21,5.1,35,16.7,484.99582000000004
105,f74e9b03-99e0-4840-972c-bd5d32e8a627,25/08/2016 06:41:14,2.52,33,2.3,60.0
106,f74e9b03-99e0-4840-972c-bd5d32e8a627,23/08/2016 02:00:00,4.8,32,14.0,357.79332999999997
107,f74e9b03-99e0-4840-972c-bd5d32e8a627,23/08/2016 02:00:00,3.9,33,13.6,363.36932
108,f74e9b03-99e0-4840-972c-bd5d32e8a627,22/08/2016 06:33:25,5.111111,37,2.3,55.0
109,f74e9b03-99e0-4840-972c-bd5d32e8a627,22/08/2016 06:33:10,4.1,32,15.4,393.57266
110,f74e9b03-99e0-4840-972c-bd5d32e8a627,22/08/2016 06:33:23,6.0,33,17.0,454.21167
111,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:25,2.6,28,4.2,87.822
112,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:25,5.7,35,18.8,545.98334
113,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:25,4.5,34,14.0,390.32
114,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:25,4.6,34,17.2,479.536
115,f74e9b03-99e0-4840-972c-bd5d32e8a627,31/01/2017 07:39:25,5.5,36,15.2,459.09067000000005
116,f74e9b03-99e0-4840-972c-bd5d32e8a627,25/07/2016 06:47:18,6.0,33,1.7,38.0
117,f74e9b03-99e0-4840-972c-bd5d32e8a627,22/07/2016 06:37:59,4.3,37,4.5,124.0
118,f74e9b03-99e0-4840-972c-bd5d32e8a627,22/07/2016 06:37:12,4.7,34,13.7,381.95599999999996
119,f74e9b03-99e0-4840-972c-bd5d32e8a627,20/07/2016 06:41:14,4.6666665,34,4.3,108.0
120,f74e9b03-99e0-4840-972c-bd5d32e8a627,19/07/2016 06:39:46,3.8823528,35,4.4,112.0
121,f74e9b03-99e0-4840-972c-bd5d32e8a627,18/07/2016 06:45:00,4.0,33,4.4,113.0
122,f74e9b03-99e0-4840-972c-bd5d32e8a627,15/07/2016 06:35:04,3.9705882000000003,36,4.5,115.0
123,f74e9b03-99e0-4840-972c-bd5d32e8a627,14/07/2016 06:25:33,4.378378400000001,35,2.7,69.0
124,f74e9b03-99e0-4840-972c-bd5d32e8a627,13/07/2016 06:36:42,4.3636365,31,3.5,79.0
125,f74e9b03-99e0-4840-972c-bd5d32e8a627,18/07/2016 06:44:57,5.9,32,7.2,184.00799999999998
126,f74e9b03-99e0-4840-972c-bd5d32e8a627,26/12/2016 12:36:11,4.9,31,5.7,139.0515
127,f74e9b03-99e0-4840-972c-bd5d32e8a627,11/7/2016 6:32,4.6086955000000005,36,5.3,143.0
128,f74e9b03-99e0-4840-972c-bd5d32e8a627,8/7/2016 6:33,4.378378400000001,35,5.0,125.0
129,f74e9b03-99e0-4840-972c-bd5d32e8a627,7/7/2016 6:18,4.8,34,5.0,119.0
130,f74e9b03-99e0-4840-972c-bd5d32e8a627,6/7/2016 6:49,3.7333333,37,2.8,82.0
131,f74e9b03-99e0-4840-972c-bd5d32e8a627,6/7/2016 6:49,3.9,31,8.6,209.797
132,f74e9b03-99e0-4840-972c-bd5d32e8a627,4/7/2016 6:41,5.142857,36,3.5,95.0
133,f74e9b03-99e0-4840-972c-bd5d32e8a627,1/7/2016 6:35,3.6585367,35,2.5,66.0
134,f74e9b03-99e0-4840-972c-bd5d32e8a627,1/7/2016 6:34,4.0,34,11.4,317.832
135,f74e9b03-99e0-4840-972c-bd5d32e8a627,1/7/2016 6:34,4.3,34,21.0,585.48
136,f74e9b03-99e0-4840-972c-bd5d32e8a627,28/06/2016 06:44:09,7.5,34,4.5,116.0
137,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/06/2016 06:55:58,3.8,33,3.9,103.0
138,f74e9b03-99e0-4840-972c-bd5d32e8a627,24/06/2016 10:45:22,4.3333335,35,4.2,102.0
139,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/06/2016 06:55:36,5.6,33,18.2,486.27367999999996
140,f74e9b03-99e0-4840-972c-bd5d32e8a627,27/06/2016 06:55:48,5.0,34,14.8,412.624
141,f74e9b03-99e0-4840-972c-bd5d32e8a627,26/12/2016 12:36:05,4.2,31,13.6,331.772
142,f74e9b03-99e0-4840-972c-bd5d32e8a627,26/12/2016 12:36:05,4.9,33,15.4,411.46234
143,f74e9b03-99e0-4840-972c-bd5d32e8a627,20/06/2016 06:41:42,4.1,36,12.0,362.44
144,f74e9b03-99e0-4840-972c-bd5d32e8a627,20/06/2016 06:41:35,4.3,34,4.0,111.52
