id,uid,time,data,temp,volume,energy
0,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,23/02/2017 09:46:52,2.9,29,9.7,214.09517000000002
1,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,23/02/2017 09:47:42,7.2,34,23.4,652.3919999999999
2,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,12/12/2016 7:29,2.670157,37,17.0,457.0
3,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,12/12/2016 7:23,3.5,29,8.4,185.40200000000002
4,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,12/12/2016 7:23,5.1,33,13.4,358.02567
5,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,12/12/2016 7:23,6.0,34,16.8,468.384
6,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,12/12/2016 7:23,2.7,27,7.2,142.188
7,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,12/12/2016 7:29,4.5,32,10.4,265.78934
8,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,30/09/2016 07:38:44,3.8181818,37,13.1,360.0
9,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,28/09/2016 21:02:47,3.0,32,5.6,121.0
10,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,28/09/2016 20:59:28,4.9,35,14.0,406.58333999999996
11,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,26/09/2016 22:47:10,3.4444443999999996,32,8.4,190.0
12,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,30/09/2016 07:32:34,4.8,35,14.9,432.72083
13,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,24/09/2016 21:42:46,3.2,30,9.1,211.42334
14,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,28/09/2016 21:02:37,5.6,37,5.3,166.2345
15,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,24/09/2016 21:39:08,4.1,31,5.5,134.1725
16,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,24/09/2016 21:39:21,4.2,30,7.4,171.92667
17,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,30/09/2016 07:37:44,4.7,34,16.2,451.656
18,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,24/09/2016 21:42:01,4.2,34,13.9,387.532
19,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,16/09/2016 07:43:45,2.6,33,5.7,152.2945
20,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,16/09/2016 07:37:25,4.068965400000001,37,11.1,307.0
21,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,16/09/2016 07:43:55,5.0,33,13.0,347.33835
22,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,16/09/2016 07:33:42,3.1,32,6.1,155.89566000000002
23,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,12/9/2016 7:18,4.0,31,5.8,141.491
24,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,10/9/2016 16:38,5.3333335,37,10.6,304.0
25,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,10/9/2016 15:54,3.7142856,32,7.4,171.92667
26,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,9/9/2016 7:29,4.3076925,36,9.2,234.0
27,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,8/9/2016 22:00,2.9491525000000003,33,7.1,164.0
28,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,10/9/2016 15:51,4.5,32,7.5,191.675
29,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,8/9/2016 21:57,2.6,32,4.8,122.67200000000001
30,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,10/9/2016 16:37,5.2,33,11.9,317.94818
31,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,8/9/2016 21:59,4.9,33,13.4,358.02567
32,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,9/9/2016 7:29,5.7,29,4.2,92.70100000000001
33,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,4/9/2016 14:35,3.0,31,6.4,156.128
34,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,2/9/2016 7:30,5.7,32,7.5,191.675
35,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,1/9/2016 7:54,5.2,33,14.4,384.744
36,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,31/08/2016 21:47:02,3.3,30,7.1,164.95667
37,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,30/08/2016 07:42:55,2.6,32,7.6,194.23067
38,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,29/08/2016 07:49:11,1.7073171000000003,35,7.0,173.0
39,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,27/08/2016 19:15:45,3.5,30,7.4,171.92667
40,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,26/08/2016 19:52:09,3.3,31,7.8,190.28099999999998
41,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,1/9/2016 7:51,6.2,28,3.8,79.458
42,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,25/08/2016 22:06:11,4.4,34,5.5,129.0
43,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,26/08/2016 19:50:19,2.5,32,7.6,194.23067
44,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,23/08/2016 07:49:06,2.8,32,7.7,196.78633
45,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,25/08/2016 22:04:14,5.5,35,13.2,383.35
46,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,22/08/2016 17:38:33,6.08,35,9.9,260.0
47,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,22/08/2016 07:51:08,2.4,33,8.2,219.09033
48,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,22/08/2016 17:35:51,3.1,32,7.7,196.78633
49,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,22/08/2016 07:50:40,2.8,31,6.7,163.4465
50,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,22/08/2016 07:50:53,2.5,32,7.4,189.11934
51,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,7/8/2016 8:34,1.3246753,35,3.4,93.0
52,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,7/8/2016 8:25,4.6363635,35,15.4,417.0
53,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,7/8/2016 8:34,3.0,32,7.2,184.00799999999998
54,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,7/8/2016 8:34,6.6,29,3.5,77.25083000000001
55,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,3/8/2016 8:17,5.894737,35,13.7,383.0
56,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,1/8/2016 9:03,6.2,33,13.1,350.01016
57,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,1/8/2016 8:58,2.7,31,6.9,168.3255
58,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,3/8/2016 8:16,3.1,31,7.2,175.644
59,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,29/07/2016 07:16:10,4.8,35,20.1,583.7375
60,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,7/8/2016 8:25,2.8,32,9.0,230.01
61,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,27/07/2016 07:46:30,4.9,34,24.5,683.06
62,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,27/07/2016 07:31:30,2.8,32,9.0,230.01
63,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,24/07/2016 19:35:20,4.857143,32,13.1,317.0
64,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,23/07/2016 21:57:22,3.9,31,9.6,234.192
65,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,22/07/2016 07:42:02,2.8181818,34,4.0,89.0
66,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,21/07/2016 08:17:06,5.5555553,35,13.6,367.0
67,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,20/07/2016 08:26:44,5.2,32,7.6,194.23067
68,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,19/07/2016 08:11:09,5.6,32,9.4,240.23267
69,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,18/07/2016 08:15:28,6.2,34,12.7,354.07599999999996
70,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,18/07/2016 07:43:48,2.9,32,9.0,230.01
71,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,16/07/2016 20:47:17,4.8,34,20.3,565.964
72,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,16/07/2016 20:40:47,9.2,32,11.3,288.79034
73,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,15/07/2016 09:37:12,7.1,34,20.8,579.904
74,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,15/07/2016 07:48:11,2.7,32,8.0,204.45334
75,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,14/07/2016 08:26:48,5.6,32,7.0,178.89667
76,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,15/07/2016 07:48:03,2.8,33,9.3,248.4805
77,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,15/07/2016 09:29:20,6.5,32,6.8,173.78534
78,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,14/07/2016 08:25:36,3.2,33,8.9,237.79317000000003
79,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,15/07/2016 09:33:17,2.8,32,5.9,150.78433
80,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,8/7/2016 9:42,5.9,34,15.5,432.14
81,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,7/7/2016 8:25,5.428571,36,9.8,258.0
82,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,6/7/2016 7:41,4.2,34,20.4,568.752
83,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,5/7/2016 7:50,4.9,32,7.3,186.56366
84,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,4/7/2016 7:43,3.3846154000000004,37,16.1,461.0
85,f94c2ff1-92c7-4e63-8a9a-01f84809d37c,2/7/2016 19:51,0.9517241,35,2.3,63.0
