id,uid,time,data,temp,volume,energy
0,fb520b6a-7a7b-470e-80cb-d2544693a197,22/09/2016 20:40:44,3.5555556000000004,39,13.5,397.0
1,fb520b6a-7a7b-470e-80cb-d2544693a197,22/09/2016 20:15:44,2.0357144,27,1.9,36.0
2,fb520b6a-7a7b-470e-80cb-d2544693a197,22/09/2016 07:47:07,4.285714,26,0.5,9.0
3,fb520b6a-7a7b-470e-80cb-d2544693a197,22/09/2016 20:37:48,3.4,39,2.1,70.7455
4,fb520b6a-7a7b-470e-80cb-d2544693a197,22/09/2016 07:47:25,3.3,38,19.3,627.76465
5,fb520b6a-7a7b-470e-80cb-d2544693a197,22/09/2016 07:47:37,3.5,32,4.4,112.44933
6,fb520b6a-7a7b-470e-80cb-d2544693a197,26/09/2016 20:34:59,3.1,37,15.5,486.1575
7,fb520b6a-7a7b-470e-80cb-d2544693a197,22/09/2016 20:17:08,3.5,36,14.3,431.90765
8,fb520b6a-7a7b-470e-80cb-d2544693a197,22/09/2016 20:41:14,3.3,31,7.0,170.765
9,fb520b6a-7a7b-470e-80cb-d2544693a197,3/7/2016 20:51,4.205021,48,33.5,1068.0
10,fb520b6a-7a7b-470e-80cb-d2544693a197,3/7/2016 20:10,5.403409,41,38.1,1140.0
11,fb520b6a-7a7b-470e-80cb-d2544693a197,3/7/2016 20:44,5.8,38,35.8,1164.4547
12,fb520b6a-7a7b-470e-80cb-d2544693a197,1/7/2016 8:10,3.0,27,0.1,1.0
13,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:19:17,5.6689653,50,88.6,3211.0
14,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:07:47,5.0,40,37.9,1320.815
15,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:08:00,4.9,41,58.5,2106.6826
16,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:18:50,5.9,36,33.8,1020.8727
17,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:08:25,5.6,38,30.1,979.0527
18,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:19:14,5.4,37,55.5,1740.7574
19,fb520b6a-7a7b-470e-80cb-d2544693a197,3/7/2016 20:06,6.2,35,19.8,575.025
20,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:19:39,5.8,36,32.0,966.50665
21,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:09:53,4.8,40,40.8,1421.88
22,fb520b6a-7a7b-470e-80cb-d2544693a197,3/7/2016 20:07,5.4,35,30.3,879.9625
23,fb520b6a-7a7b-470e-80cb-d2544693a197,3/7/2016 20:07,5.7,36,43.0,1298.7433
24,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:10:57,5.4,39,23.2,781.56934
25,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:03:24,6.0,36,24.5,739.9817
26,fb520b6a-7a7b-470e-80cb-d2544693a197,3/7/2016 20:09,6.2,35,35.1,1019.3625
27,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:15:29,5.8,39,33.2,1118.4526
28,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:16:32,6.5,36,37.9,1144.7063
29,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:17:47,5.6,35,29.4,853.825
30,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:17:59,5.8,36,30.3,915.1610000000001
31,fb520b6a-7a7b-470e-80cb-d2544693a197,30/06/2016 21:18:12,5.8,35,32.3,938.04584
32,fb520b6a-7a7b-470e-80cb-d2544693a197,15/06/2016 20:12:59,4.4,33,15.1,403.44684
33,fb520b6a-7a7b-470e-80cb-d2544693a197,22/05/2016 20:35:39,6.075,36,10.4,193.0
34,fb520b6a-7a7b-470e-80cb-d2544693a197,21/05/2016 20:56:47,4.7045455,39,28.4,853.0
