id,uid,time,data,meter
0,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 22:44:04,0,214113.0
1,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 21:44:04,12,214113.0
2,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 20:44:04,0,214101.0
3,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 19:43:29,0,214101.0
4,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 18:43:29,0,214101.0
5,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 17:43:29,16,214101.0
6,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 16:43:29,5,214085.0
7,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 15:43:27,19,214080.0
8,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 14:43:27,4,214061.0
9,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 13:43:27,10,214057.0
10,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 12:43:27,3,214047.0
11,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 11:43:37,3,214044.0
12,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 10:43:37,10,214041.0
13,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 09:43:37,14,214031.0
14,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 08:43:37,4,214017.0
15,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 07:43:34,16,214013.0
16,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 06:43:34,0,213997.0
17,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 05:43:34,0,213997.0
18,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 04:43:34,0,213997.0
19,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 03:43:27,0,213997.0
20,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 02:43:27,1,213997.0
21,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 01:43:27,0,213996.0
22,07cd69ed-86cf-46f2-81d4-1d74122a7881,19/05/2017 00:43:27,4,213996.0
23,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 23:43:26,7,213992.0
24,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 22:43:26,0,213985.0
25,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 21:43:26,8,213985.0
26,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 20:43:26,12,213977.0
27,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 19:43:39,10,213965.0
28,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 18:43:39,0,213955.0
29,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 17:43:39,0,213955.0
30,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 16:43:39,0,213955.0
31,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 15:43:37,0,213955.0
32,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 14:43:37,0,213955.0
33,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 13:43:37,0,213955.0
34,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 12:43:37,0,213955.0
35,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 11:43:30,0,213955.0
36,07cd69ed-86cf-46f2-81d4-1d74122a7881,18/05/2017 10:43:30,12,213955.0
