id,uid,time,data,meter
0,31c5bac3-f09c-4f2c-9762-0025deb1cccc,19/05/2017 22:41:28,20,184721.0
1,31c5bac3-f09c-4f2c-9762-0025deb1cccc,19/05/2017 17:41:46,0,184701.0
2,31c5bac3-f09c-4f2c-9762-0025deb1cccc,19/05/2017 16:41:46,0,184701.0
3,31c5bac3-f09c-4f2c-9762-0025deb1cccc,19/05/2017 15:41:46,21,184701.0
4,31c5bac3-f09c-4f2c-9762-0025deb1cccc,19/05/2017 14:41:46,374,184680.0
5,31c5bac3-f09c-4f2c-9762-0025deb1cccc,17/05/2017 05:39:36,0,184306.0
6,31c5bac3-f09c-4f2c-9762-0025deb1cccc,17/05/2017 04:39:36,0,184306.0
7,31c5bac3-f09c-4f2c-9762-0025deb1cccc,17/05/2017 03:39:36,0,184306.0
8,31c5bac3-f09c-4f2c-9762-0025deb1cccc,17/05/2017 02:39:36,0,184306.0
9,31c5bac3-f09c-4f2c-9762-0025deb1cccc,17/05/2017 01:40:25,0,184306.0
10,31c5bac3-f09c-4f2c-9762-0025deb1cccc,17/05/2017 00:40:25,4,184306.0
11,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 23:40:25,1,184302.0
12,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 22:40:25,6,184301.0
13,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 21:40:34,56,184295.0
14,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 20:40:34,0,184239.0
15,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 19:40:34,8,184239.0
16,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 18:40:34,0,184231.0
17,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 17:40:57,2,184231.0
18,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 16:40:57,42,184229.0
19,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 15:40:57,36,184187.0
20,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 14:40:57,49,184151.0
21,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 09:40:25,23,184102.0
22,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 08:40:25,20,184079.0
23,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 07:40:25,0,184059.0
24,31c5bac3-f09c-4f2c-9762-0025deb1cccc,16/05/2017 06:40:25,147,184059.0
25,31c5bac3-f09c-4f2c-9762-0025deb1cccc,15/05/2017 01:21:03,0,183912.0
26,31c5bac3-f09c-4f2c-9762-0025deb1cccc,15/05/2017 00:21:03,0,183912.0
27,31c5bac3-f09c-4f2c-9762-0025deb1cccc,14/05/2017 23:21:03,0,183912.0
28,31c5bac3-f09c-4f2c-9762-0025deb1cccc,14/05/2017 22:21:03,10,183912.0
