id,uid,time,data,meter
0,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 22:18:01,0,246967.0
1,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 21:18:01,0,246967.0
2,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 20:18:01,17,246967.0
3,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 19:18:01,13,246950.0
4,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 18:18:00,6,246937.0
5,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 17:18:00,13,246931.0
6,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 16:18:00,7,246918.0
7,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 15:18:00,7,246911.0
8,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 14:18:00,7,246904.0
9,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 13:18:00,0,246897.0
10,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 12:18:00,5,246897.0
11,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 11:18:00,17,246892.0
12,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 10:18:00,0,246875.0
13,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 09:18:00,1,246875.0
14,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 08:18:00,0,246874.0
15,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 07:18:00,7,246874.0
16,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 06:11:27,0,246867.0
17,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 05:11:27,0,246867.0
18,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 04:11:27,0,246867.0
19,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 03:11:27,0,246867.0
20,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 02:18:04,0,246867.0
21,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 01:18:04,0,246867.0
22,7153ee82-23b6-4230-b37f-7496d657e18c,19/05/2017 00:18:04,0,246867.0
23,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 23:18:04,16,246867.0
24,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 22:18:03,0,246851.0
25,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 21:18:03,7,246851.0
26,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 20:18:03,2,246844.0
27,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 19:18:03,0,246842.0
28,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 18:18:02,4,246842.0
29,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 17:18:02,0,246838.0
30,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 16:18:02,19,246838.0
31,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 15:18:02,39,246819.0
32,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 14:18:02,120,246780.0
33,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 13:18:02,3,246660.0
34,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 12:18:02,0,246657.0
35,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 11:18:02,17,246657.0
36,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 10:18:03,6,246640.0
37,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 09:18:03,0,246634.0
38,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 08:18:03,0,246634.0
39,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 07:18:03,6,246634.0
40,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 02:18:06,0,246628.0
41,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 01:18:06,7,246628.0
42,7153ee82-23b6-4230-b37f-7496d657e18c,18/05/2017 00:18:06,12,246621.0
43,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 23:18:06,4,246609.0
44,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 22:18:04,7,246605.0
45,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 21:18:04,2,246598.0
46,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 20:18:04,7,246596.0
47,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 19:18:04,8,246589.0
48,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 18:18:06,1,246581.0
49,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 17:18:06,1,246580.0
50,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 16:18:06,14,246579.0
51,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 15:18:06,3,246565.0
52,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 14:18:04,13,246562.0
53,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 13:18:04,0,246549.0
54,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 12:18:04,0,246549.0
55,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 11:18:04,16,246549.0
56,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 10:18:05,20,246533.0
57,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 09:18:05,0,246513.0
58,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 08:18:05,0,246513.0
59,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 07:18:05,12,246513.0
60,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 06:37:37,0,246501.0
61,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 05:37:37,0,246501.0
62,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 04:37:37,0,246501.0
63,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 03:37:37,0,246501.0
64,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 02:18:08,0,246501.0
65,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 01:18:08,0,246501.0
66,7153ee82-23b6-4230-b37f-7496d657e18c,17/05/2017 00:18:08,0,246501.0
