id,uid,time,data,meter
0,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 22:15:15,0,210505.0
1,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 21:15:15,1,210505.0
2,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 20:15:15,0,210504.0
3,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 19:15:15,1,210504.0
4,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 18:15:16,1,210503.0
5,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 17:15:16,1,210502.0
6,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 16:15:16,0,210501.0
7,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 15:15:16,3,210501.0
8,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 14:15:17,1,210498.0
9,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 13:15:17,0,210497.0
10,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 12:15:17,0,210497.0
11,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 11:15:17,0,210497.0
12,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 10:15:17,2,210497.0
13,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 09:15:17,1,210495.0
14,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 08:15:17,0,210494.0
15,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 07:15:17,0,210494.0
16,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 06:15:17,0,210494.0
17,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 05:15:17,0,210494.0
18,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 04:15:17,0,210494.0
19,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 03:15:17,0,210494.0
20,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 02:15:16,0,210494.0
21,7c740711-9c8a-4b41-a262-c2200a3e8d52,19/05/2017 01:15:16,1,210494.0
