id,uid,time,data,meter
0,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 22:18:55,22,318298.0
1,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 21:18:55,0,318276.0
2,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 20:18:55,0,318276.0
3,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 19:18:53,17,318276.0
4,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 18:18:53,1,318259.0
5,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 17:18:53,29,318258.0
6,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 16:18:53,127,318229.0
7,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 15:18:55,25,318102.0
8,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 14:18:55,28,318077.0
9,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 13:18:55,0,318049.0
10,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 12:18:55,0,318049.0
11,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 11:18:54,23,318049.0
12,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 10:18:54,17,318026.0
13,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 09:18:54,2,318009.0
14,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 08:18:54,29,318007.0
15,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 07:18:55,0,317978.0
16,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 06:18:55,0,317978.0
17,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 05:18:55,0,317978.0
18,9a178c60-d219-4d74-8db4-641c9a454079,19/05/2017 04:18:55,6,317978.0
19,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 23:18:55,22,317972.0
20,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 22:18:55,20,317950.0
21,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 21:18:55,8,317930.0
22,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 20:18:55,91,317922.0
23,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 15:18:56,2,317831.0
24,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 14:18:56,0,317829.0
25,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 13:18:56,0,317829.0
26,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 12:18:56,0,317829.0
27,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 11:18:55,27,317829.0
28,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 10:18:55,44,317802.0
29,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 09:18:55,50,317758.0
30,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 08:18:55,0,317708.0
31,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 07:18:57,3,317708.0
32,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 06:18:57,0,317705.0
33,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 05:18:57,1,317705.0
34,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 04:18:57,0,317704.0
35,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 03:18:56,0,317704.0
36,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 02:18:56,28,317704.0
37,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 01:18:56,55,317676.0
38,9a178c60-d219-4d74-8db4-641c9a454079,18/05/2017 00:18:56,56,317621.0
39,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 23:18:58,32,317565.0
40,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 22:18:58,3,317533.0
41,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 21:18:58,18,317530.0
42,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 20:18:58,0,317512.0
43,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 19:19:00,67,317512.0
44,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 18:19:00,10,317445.0
45,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 17:19:00,4,317435.0
46,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 16:19:00,32,317431.0
47,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 15:19:06,77,317399.0
48,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 14:19:06,43,317322.0
49,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 13:19:06,25,317279.0
50,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 12:19:06,109,317254.0
51,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 11:18:58,24,317145.0
52,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 10:18:58,16,317121.0
53,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 09:18:58,2,317105.0
54,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 08:18:58,47,317103.0
55,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 07:18:59,0,317056.0
56,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 06:18:59,3,317056.0
57,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 05:18:59,0,317053.0
58,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 04:18:59,0,317053.0
59,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 03:18:59,0,317053.0
60,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 02:18:59,0,317053.0
61,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 01:18:59,0,317053.0
62,9a178c60-d219-4d74-8db4-641c9a454079,17/05/2017 00:18:59,2,317053.0
63,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 23:19:01,13,317051.0
64,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 22:19:01,17,317038.0
65,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 21:19:01,11,317021.0
66,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 20:19:01,56,317010.0
67,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 19:18:59,16,316954.0
68,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 18:18:59,5,316938.0
69,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 17:18:59,14,316933.0
70,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 16:18:59,95,316919.0
71,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 11:19:01,9,316824.0
72,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 10:19:01,9,316815.0
73,9a178c60-d219-4d74-8db4-641c9a454079,16/05/2017 09:19:01,20,316806.0
