id,uid,time,data,meter
0,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 22:46:19,19,251696.0
1,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 21:46:19,25,251677.0
2,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 20:46:19,37,251652.0
3,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 19:46:19,0,251615.0
4,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 18:46:09,1,251615.0
5,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 17:46:09,7,251614.0
6,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 16:46:09,6,251607.0
7,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 15:46:09,51,251601.0
8,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 14:46:21,13,251550.0
9,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 13:46:21,49,251537.0
10,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 12:46:21,0,251488.0
11,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 11:46:21,60,251488.0
12,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 10:02:54,0,251428.0
13,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 09:02:54,2,251428.0
14,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 08:02:54,49,251426.0
15,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 06:46:23,4,251377.0
16,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 05:46:23,20,251373.0
17,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 04:46:23,0,251353.0
18,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 03:46:23,0,251353.0
19,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 02:46:15,0,251353.0
20,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 01:46:15,0,251353.0
21,b427d9d3-b608-44d1-a040-2f1a984699e5,19/05/2017 00:46:15,0,251353.0
22,b427d9d3-b608-44d1-a040-2f1a984699e5,18/05/2017 23:46:15,0,251353.0
23,b427d9d3-b608-44d1-a040-2f1a984699e5,18/05/2017 22:22:55,5,251353.0
24,b427d9d3-b608-44d1-a040-2f1a984699e5,18/05/2017 21:22:55,24,251348.0
