id,uid,time,data,meter
0,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 22:27:05,9,314320.0
1,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 21:27:04,0,314311.0
2,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 20:27:04,0,314311.0
3,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 19:27:04,2,314311.0
4,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 18:27:04,0,314309.0
5,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 17:27:08,3,314309.0
6,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 16:27:08,10,314306.0
7,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 15:27:08,10,314296.0
8,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 14:27:08,11,314286.0
9,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 13:27:05,49,314275.0
10,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 12:27:05,10,314226.0
11,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 11:27:05,12,314216.0
12,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 10:27:05,0,314204.0
13,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 09:27:07,7,314204.0
14,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 08:27:07,0,314197.0
15,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 07:27:07,32,314197.0
16,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 06:27:07,0,314165.0
17,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 05:27:18,0,314165.0
18,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 04:27:18,0,314165.0
19,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 03:27:18,0,314165.0
20,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 02:27:18,5,314165.0
21,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 01:27:09,0,314160.0
22,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,19/05/2017 00:27:09,10,314160.0
23,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 23:27:09,19,314150.0
24,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 22:27:09,61,314131.0
25,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 21:27:11,20,314070.0
26,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 20:27:11,0,314050.0
27,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 19:27:11,0,314050.0
28,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 18:27:11,0,314050.0
29,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 17:27:08,37,314050.0
30,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 16:27:08,53,314013.0
31,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 15:27:08,7,313960.0
32,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 14:27:08,27,313953.0
33,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 13:27:12,10,313926.0
34,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 12:27:12,0,313916.0
35,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 11:27:12,6,313916.0
36,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 10:27:12,1,313910.0
37,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 09:12:29,8,313909.0
38,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 08:12:29,17,313901.0
39,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 07:12:29,0,313884.0
40,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 06:12:29,0,313884.0
41,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 05:32:49,0,313884.0
42,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 04:32:49,0,313884.0
43,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 03:32:49,0,313884.0
44,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 02:32:49,0,313884.0
45,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 01:27:10,4,313884.0
46,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,18/05/2017 00:27:10,0,313880.0
47,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 23:27:10,1,313880.0
48,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 22:27:10,0,313879.0
49,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 21:27:11,5,313879.0
50,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 20:27:11,8,313874.0
51,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 19:27:11,0,313866.0
52,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 18:27:11,0,313866.0
53,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 17:27:12,14,313866.0
54,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 16:27:12,49,313852.0
55,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 15:27:12,13,313803.0
56,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 14:27:12,0,313790.0
57,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 13:27:19,0,313790.0
58,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 12:27:19,0,313790.0
59,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 11:27:19,0,313790.0
60,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 10:27:19,0,313790.0
61,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 09:27:12,7,313790.0
62,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 08:27:12,18,313783.0
63,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 07:27:12,23,313765.0
64,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 06:27:12,0,313742.0
65,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 05:27:29,0,313742.0
66,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 04:27:29,0,313742.0
67,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 03:27:29,0,313742.0
68,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 02:27:29,0,313742.0
69,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 01:27:26,0,313742.0
70,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,17/05/2017 00:27:26,12,313742.0
71,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 23:27:26,6,313730.0
72,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 22:27:26,3,313724.0
73,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 21:27:15,11,313721.0
74,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 20:27:15,0,313710.0
75,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 19:27:15,2,313710.0
76,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 18:27:15,3,313708.0
77,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 17:27:15,9,313705.0
78,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 16:27:15,33,313696.0
79,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 15:27:15,4,313663.0
80,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 14:27:15,5,313659.0
81,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 13:27:15,8,313654.0
82,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 12:27:15,46,313646.0
83,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 11:27:15,17,313600.0
84,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 10:27:15,0,313583.0
85,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 09:27:22,0,313583.0
86,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 08:27:22,0,313583.0
87,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 07:27:22,30,313583.0
88,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 06:27:22,0,313553.0
89,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 05:27:18,0,313553.0
90,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 04:27:18,0,313553.0
91,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 03:27:18,0,313553.0
92,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 02:27:18,5,313553.0
93,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 01:27:16,17,313548.0
94,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,16/05/2017 00:27:16,0,313531.0
95,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 23:27:16,2,313531.0
96,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 22:27:16,0,313529.0
97,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 21:27:17,31,313529.0
98,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 20:27:17,61,313498.0
99,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 19:27:17,27,313437.0
100,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 18:27:17,11,313410.0
101,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 17:12:38,11,313399.0
102,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 16:12:38,46,313388.0
103,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 15:12:38,36,313342.0
104,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 14:12:38,61,313306.0
105,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 13:27:16,30,313245.0
106,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 12:27:16,17,313215.0
107,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 11:27:16,0,313198.0
108,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 10:27:16,0,313198.0
109,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 09:27:19,0,313198.0
110,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 08:27:19,0,313198.0
111,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 07:27:19,19,313198.0
112,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 06:27:19,0,313179.0
113,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 05:27:18,0,313179.0
114,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 04:27:18,0,313179.0
115,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 03:27:18,0,313179.0
116,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 02:27:18,6,313179.0
117,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 01:27:19,0,313173.0
118,d19a70ec-65aa-4fa7-86e9-f4816f8c1196,15/05/2017 00:27:19,52,313173.0
