id,uid,time,data,meter
0,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 22:50:16,2,264461.0
1,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 21:50:16,0,264459.0
2,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 20:31:44,0,264459.0
3,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 19:31:44,12,264459.0
4,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 18:31:44,0,264447.0
5,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 17:31:44,10,264447.0
6,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 16:31:45,19,264437.0
7,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 15:31:45,14,264418.0
8,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 14:31:45,2,264404.0
9,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 13:31:45,8,264402.0
10,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 12:31:44,16,264394.0
11,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 11:31:44,23,264378.0
12,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 10:31:44,15,264355.0
13,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 09:31:44,44,264340.0
14,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 08:31:45,1,264296.0
15,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 07:31:45,0,264295.0
16,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 06:31:45,8,264295.0
17,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 05:31:45,0,264287.0
18,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 04:31:45,0,264287.0
19,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 03:31:45,0,264287.0
20,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 02:31:45,0,264287.0
21,e10b1ec4-1530-4212-bb81-5acffc469411,19/05/2017 01:31:45,38,264287.0
22,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 20:31:45,1,264249.0
23,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 19:31:45,2,264248.0
24,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 18:31:45,14,264246.0
25,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 17:31:45,3,264232.0
26,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 16:31:46,43,264229.0
27,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 15:31:46,2,264186.0
28,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 14:31:46,0,264184.0
29,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 13:31:46,50,264184.0
30,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 12:31:46,21,264134.0
31,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 11:31:46,2,264113.0
32,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 10:31:46,17,264111.0
33,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 09:31:46,63,264094.0
34,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 08:31:48,7,264031.0
35,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 07:31:48,0,264024.0
36,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 06:31:48,8,264024.0
37,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 05:31:48,0,264016.0
38,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 04:31:47,0,264016.0
39,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 03:31:47,0,264016.0
40,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 02:31:47,0,264016.0
41,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 01:31:47,13,264016.0
42,e10b1ec4-1530-4212-bb81-5acffc469411,18/05/2017 00:31:49,37,264003.0
43,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 23:31:49,0,263966.0
44,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 22:31:49,0,263966.0
45,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 21:31:49,22,263966.0
46,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 20:31:50,14,263944.0
47,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 19:31:50,14,263930.0
48,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 18:31:50,8,263916.0
49,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 17:31:50,16,263908.0
50,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 16:31:50,23,263892.0
51,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 15:31:50,2,263869.0
52,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 14:31:50,25,263867.0
53,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 13:31:50,0,263842.0
54,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 12:31:50,6,263842.0
55,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 11:31:50,29,263836.0
56,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 10:31:50,4,263807.0
57,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 09:31:50,33,263803.0
58,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 08:31:50,0,263770.0
59,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 07:31:50,0,263770.0
60,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 06:31:50,8,263770.0
61,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 05:31:50,0,263762.0
62,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 04:31:50,0,263762.0
63,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 03:31:50,0,263762.0
64,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 02:31:50,0,263762.0
65,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 01:31:50,8,263762.0
66,e10b1ec4-1530-4212-bb81-5acffc469411,17/05/2017 00:31:52,16,263754.0
67,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 23:31:52,4,263738.0
68,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 22:31:52,9,263734.0
69,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 21:31:52,0,263725.0
70,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 20:31:51,9,263725.0
71,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 19:31:51,9,263716.0
72,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 18:31:51,8,263707.0
73,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 17:31:51,15,263699.0
74,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 16:31:52,26,263684.0
75,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 15:31:52,4,263658.0
76,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 14:31:52,18,263654.0
77,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 13:31:52,0,263636.0
78,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 12:31:50,24,263636.0
79,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 11:31:50,2,263612.0
80,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 10:31:50,18,263610.0
81,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 09:31:50,35,263592.0
82,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 08:31:51,3,263557.0
83,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 07:31:51,0,263554.0
84,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 06:31:51,0,263554.0
85,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 05:31:51,0,263554.0
86,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 04:31:51,8,263554.0
87,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 03:31:51,0,263546.0
88,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 02:31:51,0,263546.0
89,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 01:31:51,0,263546.0
90,e10b1ec4-1530-4212-bb81-5acffc469411,16/05/2017 00:31:53,29,263546.0
91,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 23:31:53,0,263517.0
92,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 22:31:53,16,263517.0
93,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 21:31:53,9,263501.0
94,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 20:31:55,0,263492.0
95,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 19:31:55,0,263492.0
96,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 18:31:55,47,263492.0
97,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 17:31:55,45,263445.0
98,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 16:32:42,21,263400.0
99,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 15:32:42,74,263379.0
100,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 14:32:42,14,263305.0
101,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 13:32:42,57,263291.0
102,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 12:35:21,31,263234.0
103,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 11:35:21,87,263203.0
104,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 10:35:21,18,263116.0
105,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 09:35:21,63,263098.0
106,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 08:47:10,13,263035.0
107,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 07:47:10,2,263022.0
108,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 06:47:10,0,263020.0
109,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 05:47:10,0,263020.0
110,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 04:31:53,0,263020.0
111,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 03:31:53,0,263020.0
112,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 02:31:53,0,263020.0
113,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 01:31:53,14,263020.0
114,e10b1ec4-1530-4212-bb81-5acffc469411,15/05/2017 00:31:56,14,263006.0
115,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 23:31:56,0,262992.0
116,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 22:31:56,7,262992.0
117,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 21:31:56,6,262985.0
118,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 20:31:54,6,262979.0
119,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 19:31:54,23,262973.0
120,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 18:31:54,0,262950.0
121,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 17:31:54,0,262950.0
122,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 16:31:56,0,262950.0
123,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 15:31:56,0,262950.0
124,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 14:31:56,0,262950.0
125,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 13:31:56,0,262950.0
126,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 12:31:55,10,262950.0
127,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 11:31:55,2,262940.0
128,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 10:31:55,20,262938.0
129,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 09:31:55,29,262918.0
130,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 08:31:57,54,262889.0
131,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 07:31:57,0,262835.0
132,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 06:31:57,8,262835.0
133,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 05:31:57,0,262827.0
134,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 04:31:57,0,262827.0
135,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 03:31:57,0,262827.0
136,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 02:31:57,0,262827.0
137,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 01:31:57,10,262827.0
138,e10b1ec4-1530-4212-bb81-5acffc469411,14/05/2017 00:31:56,13,262817.0
139,e10b1ec4-1530-4212-bb81-5acffc469411,13/05/2017 23:31:56,6,262804.0
140,e10b1ec4-1530-4212-bb81-5acffc469411,13/05/2017 22:31:56,2,262798.0
141,e10b1ec4-1530-4212-bb81-5acffc469411,13/05/2017 21:31:56,19,262796.0
142,e10b1ec4-1530-4212-bb81-5acffc469411,13/05/2017 20:31:56,0,262777.0
