id,uid,time,data,meter
0,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 22:58:29,4,273809.0
1,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 21:58:29,0,273805.0
2,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 20:58:29,1,273805.0
3,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 19:58:29,1,273804.0
4,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 18:58:34,74,273803.0
5,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 17:58:34,1,273729.0
6,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 16:58:34,5,273728.0
7,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 15:58:34,1,273723.0
8,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 14:58:29,5,273722.0
9,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 13:58:29,0,273717.0
10,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 12:58:29,23,273717.0
11,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 11:58:29,71,273694.0
12,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 07:07:50,1,273623.0
13,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 06:07:50,0,273622.0
14,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 05:07:50,0,273622.0
15,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 04:07:50,0,273622.0
16,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 02:58:34,0,273622.0
17,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 01:58:34,0,273622.0
18,e84cd7c9-2b25-42a0-819b-82077f77373e,19/05/2017 00:58:34,5,273622.0
19,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 23:58:34,0,273617.0
20,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 22:58:31,6,273617.0
21,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 21:58:31,6,273611.0
22,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 20:58:31,2,273605.0
23,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 19:58:31,4,273603.0
24,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 18:07:55,1,273599.0
25,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 17:07:55,3,273598.0
26,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 16:07:55,5,273595.0
27,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 14:58:32,138,273590.0
28,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 13:58:32,147,273452.0
29,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 12:58:32,0,273305.0
30,e84cd7c9-2b25-42a0-819b-82077f77373e,18/05/2017 11:58:32,0,273305.0
