id,uid,time,data,meter
0,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 22:59:10,0,113369.0
1,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 21:59:10,1,113369.0
2,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 20:59:15,1,113368.0
3,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 19:59:15,0,113367.0
4,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 18:59:15,4,113367.0
5,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 17:59:15,1,113363.0
6,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 16:59:12,0,113362.0
7,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 15:59:12,1,113362.0
8,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 14:59:12,1,113361.0
9,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 13:59:12,0,113360.0
10,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 12:59:15,1,113360.0
11,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 11:59:15,1,113359.0
12,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 10:59:15,1,113358.0
13,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 09:59:15,23,113357.0
14,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 08:59:19,5,113334.0
15,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 07:59:19,6,113329.0
16,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 06:59:19,0,113323.0
17,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 05:59:19,0,113323.0
18,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 04:59:18,0,113323.0
19,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 03:59:18,0,113323.0
20,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 02:59:18,0,113323.0
21,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 01:59:18,1,113323.0
22,f4933677-62a0-4e83-9e4c-84b52b3d2314,19/05/2017 00:02:01,35,113322.0
23,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 23:02:01,1,113287.0
24,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 22:02:01,9,113286.0
25,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 16:59:17,8,113277.0
26,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 15:59:17,1,113269.0
27,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 14:59:17,7,113268.0
28,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 13:59:17,1,113261.0
29,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 12:59:20,1,113260.0
30,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 11:59:20,1,113259.0
31,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 10:59:20,0,113258.0
32,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 09:59:20,12,113258.0
33,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 04:59:20,0,113246.0
34,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 03:59:20,0,113246.0
35,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 02:59:20,0,113246.0
36,f4933677-62a0-4e83-9e4c-84b52b3d2314,18/05/2017 01:59:20,11,113246.0
37,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 20:59:20,0,113235.0
38,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 19:59:20,5,113235.0
39,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 18:59:20,0,113230.0
40,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 17:59:20,1,113230.0
41,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 16:59:20,1,113229.0
42,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 15:59:20,1,113228.0
43,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 14:59:20,1,113227.0
44,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 13:59:20,0,113226.0
45,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 12:59:38,1,113226.0
46,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 11:59:38,0,113225.0
47,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 10:59:38,1,113225.0
48,f4933677-62a0-4e83-9e4c-84b52b3d2314,17/05/2017 09:59:38,1,113224.0
