id,uid,time,data,meter
0,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 22:42:42,1,208173.0
1,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 21:42:42,6,208172.0
2,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 20:42:42,0,208166.0
3,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 19:42:40,2,208166.0
4,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 18:42:40,21,208164.0
5,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 17:42:40,0,208143.0
6,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 16:42:40,7,208143.0
7,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 15:42:41,15,208136.0
8,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 14:42:41,17,208121.0
9,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 13:42:41,16,208104.0
10,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 12:42:41,40,208088.0
11,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 11:42:44,25,208048.0
12,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 10:42:44,6,208023.0
13,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 09:42:44,7,208017.0
14,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 08:42:44,7,208010.0
15,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 07:42:40,9,208003.0
16,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 06:42:40,0,207994.0
17,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 05:42:40,0,207994.0
18,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 04:42:40,0,207994.0
19,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 03:42:42,0,207994.0
20,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 02:42:42,0,207994.0
21,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 01:42:42,0,207994.0
22,fe75d621-deee-4d90-b22d-88032792eef3,19/05/2017 00:42:42,14,207994.0
23,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 23:42:49,8,207980.0
24,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 22:42:49,7,207972.0
25,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 21:42:49,0,207965.0
26,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 20:42:49,5,207965.0
27,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 19:15:15,0,207960.0
28,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 18:15:15,9,207960.0
29,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 17:15:15,9,207951.0
30,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 16:15:15,2,207942.0
31,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 15:42:43,8,207940.0
32,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 14:42:43,4,207932.0
33,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 13:42:43,0,207928.0
34,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 12:42:43,0,207928.0
35,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 11:42:42,3,207928.0
36,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 10:42:42,5,207925.0
37,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 09:42:42,24,207920.0
38,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 08:42:42,14,207896.0
39,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 07:42:43,0,207882.0
40,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 06:42:43,0,207882.0
41,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 05:42:43,0,207882.0
42,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 04:42:43,0,207882.0
43,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 03:42:49,0,207882.0
44,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 02:42:49,0,207882.0
45,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 01:42:49,0,207882.0
46,fe75d621-deee-4d90-b22d-88032792eef3,18/05/2017 00:42:49,0,207882.0
47,fe75d621-deee-4d90-b22d-88032792eef3,17/05/2017 23:42:43,2,207882.0
48,fe75d621-deee-4d90-b22d-88032792eef3,17/05/2017 22:42:43,9,207880.0
49,fe75d621-deee-4d90-b22d-88032792eef3,17/05/2017 21:42:43,9,207871.0
