id,uid,time,data,meter
0,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 22:30:06,9,180389.0
1,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 21:30:06,8,180380.0
2,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 20:30:06,9,180372.0
3,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 19:29:49,9,180363.0
4,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 18:29:49,0,180354.0
5,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 17:29:49,18,180354.0
6,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 16:29:49,7,180336.0
7,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 15:30:07,28,180329.0
8,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 14:30:07,23,180301.0
9,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 13:30:07,1,180278.0
10,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 12:30:07,1,180277.0
11,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 11:29:50,0,180276.0
12,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 10:29:50,1,180276.0
13,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 09:29:50,0,180275.0
14,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 08:29:50,15,180275.0
15,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 07:30:10,17,180260.0
16,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 06:30:10,0,180243.0
17,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 05:30:10,1,180243.0
18,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 04:30:10,0,180242.0
19,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 03:29:58,0,180242.0
20,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 02:29:58,0,180242.0
21,ff6bffea-800c-44e8-8716-912f25ea80e4,19/05/2017 01:29:58,0,180242.0
