Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons
201201,78613,Multi-Family,23000
201201,78613,Irrigation - Multi-Family,11000
201201,78617,Multi-Family,2477000
201201,78617,Residential,19962500
201201,78652,Irrigation - Residential,38500
201201,78652,Residential,632300
201201,78652,Multi-Family,116900
201201,78653,Multi-Family,194500
201201,78653,Residential,2577800
201201,78660,Residential,7226400
201201,78660,Multi-Family,3805800
201201,78701,Irrigation - Multi-Family,182600
201201,78701,Multi-Family,12057400
201201,78701,Residential,1180900
201201,78702,Irrigation - Residential,
201201,78702,Residential,28357400
201201,78702,Irrigation - Multi-Family,349400
201201,78702,Multi-Family,10097500
201201,78703,Multi-Family,13884400
201201,78703,Residential,43033500
201201,78703,Irrigation - Multi-Family,433700
201201,78703,Irrigation - Residential,784300
201201,78704,Irrigation - Multi-Family,836600
201201,78704,Multi-Family,48585100
201201,78704,Residential,41373500
201201,78704,Irrigation - Residential,104800
201201,78705,Irrigation - Multi-Family,364100
201201,78705,Irrigation - Residential,28100
201201,78705,Residential,8258300
201201,78705,Multi-Family,22270200
201201,78717,Irrigation - Multi-Family,1415700
201201,78717,Residential,24385200
201201,78717,Irrigation - Residential,
201201,78717,Multi-Family,7693500
201201,78719,Residential,1631000
201201,78719,Multi-Family,772700
201201,78721,Multi-Family,5109300
201201,78721,Residential,15838100
201201,78721,Irrigation - Residential,5900
201201,78721,Irrigation - Multi-Family,
201201,78722,Multi-Family,2846100
201201,78722,Irrigation - Multi-Family,41700
201201,78722,Residential,8121100
201201,78722,Irrigation - Residential,
201201,78723,Irrigation - Multi-Family,180700
201201,78723,Residential,33487000
201201,78723,Multi-Family,21808300
201201,78724,Irrigation - Residential,18800
201201,78724,Multi-Family,11720800
201201,78724,Irrigation - Multi-Family,393100
201201,78724,Residential,21187700
201201,78725,Irrigation - Multi-Family,
201201,78725,Residential,2119300
201201,78725,Multi-Family,293600
201201,78726,Multi-Family,11858900
201201,78726,Irrigation - Residential,2900
201201,78726,Irrigation - Multi-Family,1998700
201201,78726,Residential,13720800
201201,78727,Irrigation - Multi-Family,1874400
201201,78727,Irrigation - Residential,1000
201201,78727,Multi-Family,21880600
201201,78727,Residential,34692800
201201,78728,Irrigation - Multi-Family,301300
201201,78728,Multi-Family,7676600
201201,78728,Residential,3602300
201201,78729,Irrigation - Residential,1800
201201,78729,Multi-Family,21389000
201201,78729,Residential,19736700
201201,78729,Irrigation - Multi-Family,1315600
201201,78730,Irrigation - Residential,224700
201201,78730,Residential,5074900
201201,78730,Irrigation - Multi-Family,502200
201201,78730,Multi-Family,5260500
201201,78731,Residential,51030100
201201,78731,Irrigation - Multi-Family,660300
201201,78731,Irrigation - Residential,209300
201201,78731,Multi-Family,17987800
201201,78732,Residential,4100
201201,78733,Residential,24400
201201,78735,Multi-Family,9993800
201201,78735,Irrigation - Multi-Family,819400
201201,78735,Residential,16520800
201201,78736,Irrigation - Residential,2300
201201,78736,Residential,11189600
201201,78736,Irrigation - Multi-Family,157900
201201,78736,Multi-Family,2744700
201201,78737,Residential,4512000
201201,78737,Irrigation - Residential,5200
201201,78738,Residential,7500
201201,78739,Residential,32822500
201201,78739,Irrigation - Residential,
201201,78741,Irrigation - Residential,4600
201201,78741,Multi-Family,77097400
201201,78741,Residential,18864300
201201,78741,Irrigation - Multi-Family,1931100
201201,78742,Residential,565900
201201,78742,Multi-Family,387000
201201,78744,Irrigation - Residential,2500
201201,78744,Multi-Family,23982200
201201,78744,Residential,52151000
201201,78744,Irrigation - Multi-Family,577000
201201,78745,Multi-Family,32377300
201201,78745,Irrigation - Residential,10500
201201,78745,Irrigation - Multi-Family,847100
201201,78745,Residential,75027500
201201,78746,Multi-Family,12406100
201201,78746,Irrigation - Multi-Family,373500
201201,78746,Irrigation - Residential,191800
201201,78746,Residential,24320500
201201,78747,Irrigation - Residential,79900
201201,78747,Irrigation - Multi-Family,155300
201201,78747,Residential,20651600
201201,78747,Multi-Family,6411000
201201,78748,Irrigation - Residential,
201201,78748,Irrigation - Multi-Family,2642400
